learnable	type	translation	authoritative	is_regex
entrepà			1	0
meu			1	0
teva			1	0
ocells			1	0
maduixa			1	0
el			1	0
mengen			1	0
són			1	0
i			1	0
gat			1	0
un			1	0
tomàquet			1	0
la			1	0
ulleres			1	0
els			1	0
una			1	0
amb			1	0
meus			1	0
vi			1	0
les			1	0
elefant			1	0
gata			1	0
teves			1	0
és			1	0
si us plau			1	0
els			1	0
te			1	0
aranya			1	0
dona			1	0
ós			1	0
jo			1	0
vosaltres			1	0
nenes			1	0
aigua			1	0
anglès			1	0
quan			1	0
què			1	0
l'			1	0
com			1	0
elefants			1	0
que			1	0
nosaltres			1	0
nens			1	0
tu			1	0
nena			1	0
no			1	0
gossos			1	0
català			1	0
menja			1	0
carta			1	0
per què			1	0
llibres			1	0
sopa			1	0
teu			1	0
gos			1	0
cervesa			1	0
home			1	0
beus			1	0
seus			1	0
escrius			1	0
lleó			1	0
peixos			1	0
on			1	0
gates			1	0
seva			1	0
nostre			1	0
vostres			1	0
unes			1	0
meves			1	0
seu			1	0
nostres			1	0
vostre			1	0
nostra			1	0
maduixes			1	0
seves			1	0
nen			1	0
ratolí			1	0
pomes			1	0
llet			1	0
diaris			1	0
paraules			1	0
suc			1	0
uns			1	0
llurs			1	0
beuen			1	0
conill			1	0
escriuen			1	0
ànecs			1	0
esmorzar			1	0
salsa			1	0
pa			1	0
dinar			1	0
homes			1	0
cartes			1	0
dones			1	0
bon dia			1	0
cavalls			1	0
poma			1	0
porc			1	0
tortugues			1	0
mico			1	0
menjo			1	0
cranc			1	0
oli			1	0
sal			1	0
formatge			1	0
carn			1	0
peix			1	0
menú			1	0
sucre			1	0
prepara			1	0
berenar			1	0
beu			1	0
fruita			1	0
gràcies			1	0
hola			1	0
sóc			1	0
bona nit			1	0
adéu			1	0
molt de gust			1	0
res			1	0
moltes gràcies			1	0
perdó			1	0
em sap greu			1	0
de res			1	0
sí			1	0
escric			1	0
llibre			1	0
elles			1	0
ells			1	0
ella			1	0
ell			1	0
diari			1	0
som			1	0
ets			1	0
teus			1	0
vostra			1	0
meva			1	0
llur			1	0
pingüí			1	0
tortuga			1	0
llimona			1	0
cavall			1	0
pollastre			1	0
ànec			1	0
animal			1	0
ocell			1	0
gats			1	0
pasta			1	0
sopar			1	0
cuino			1	0
vegetarià			1	0
patata			1	0
ou			1	0
verdura			1	0
arròs			1	0
parlo			1	0
parles			1	0
bona tarda			1	0
al			1	0
això			1	0
llit			1	0
bressol			1	0
qui			1	0
nevera			1	0
a			1	0
entre			1	0
dotze			1	0
animals			1	0
llençol			1	0
ho			1	0
ahir			1	0
i			1	0
tassa			1	0
llum			1	0
que			1	0
preguntar			1	0
pujar			1	0
demanar			1	0
creure			1	0
guanyar			1	0
reparar			1	0
nevar			1	0
agafar			1	0
dibuixar			1	0
ruc			1	0
esmorza			1	0
àpat			1	0
taronja			1	0
toro			1	0
ceba			1	0
girona			1	0
del			1	0
al voltant de			1	0
cap a			1	0
d'			1	0
castelló			1	0
est			1	0
eivissa			1	0
de			1	0
allà			1	0
biblioteca			1	0
illes			1	0
rutes			1	0
torres			1	0
pràcticament			1	0
actualment			1	0
amb			1	0
recentment			1	0
solament			1	0
realment			1	0
probablement			1	0
o			1	0
com			1	0
si			1	0
igualment			1	0
tot just			1	0
per descomptat			1	0
darrere			1	0
cada			1	0
per			1	0
pols			1	0
gent			1	0
pel			1	0
sempre			1	0
prop			1	0
en			1	0
on			1	0
nevera			1	0
també			1	0
lentament			1	0
sense			1	0
molt			1	0
cap al			1	0
anar			1	0
pas			1	0
direcció			1	0
sentit			1	0
canvi			1	0
rumb			1	0
nord			1	0
senyal			1	0
sud			1	0
sentits			1	0
m'agrada			1	0
tothom			1	0
així			1	0
mi			1	0
-se			1	0
repetir			1	0
hom			1	0
quan			1	0
quedat			1	0
perquè			1	0
escoltat			1	0
cap			1	0
on			1	0
més			1	0
venut			1	0
hi			1	0
tema			1	0
abans			1	0
fet			1	0
rebut			1	0
menjat			1	0
escrit			1	0
dormit			1	0
pres			1	0
sentit			1	0
produït			1	0
patit			1	0
llegit			1	0
pogut			1	0
trobat			1	0
dit			1	0
mossegat			1	0
perdut			1	0
anat			1	0
demostrat			1	0
aconseguit			1	0
conduït			1	0
mort			1	0
decidit			1	0
tallat			1	0
conegut			1	0
intentat			1	0
ficat			1	0
viscut			1	0
amistat			1	0
felicitat			1	0
alegria			1	0
amor			1	0
feliç			1	0
tensió			1	0
somriure			1	0
sabut			1	0
anat			1	0
viscut			1	0
perdut			1	0
volgut			1	0
donat			1	0
escrit			1	0
començat			1	0
estat			1	0
despertat			1	0
corregut			1	0
après			1	0
fet			1	0
obert			1	0
vist			1	0
dit			1	0
dormit			1	0
agafat			1	0
cuinat			1	0
pogut			1	0
admès			1	0
conegut			1	0
rigut			1	0
jugat			1	0
vingut			1	0
produït			1	0
conduït			1	0
plogut			1	0
dedicat			1	0
llegit			1	0
tipus			1	0
resposta			1	0
història			1	0
solució			1	0
facultat			1	0
problema			1	0
escola			1	0
absència			1	0
estudi			1	0
joc			1	0
exemple			1	0
educació			1	0
sumar			1	0
lectura			1	0
discussió			1	0
material			1	0
explicar			1	0
tasca			1	0
capítol			1	0
secció			1	0
nivell			1	0
coneixement			1	0
grau			1	0
curs			1	0
classe			1	0
intel·ligència			1	0
títol			1	0
premi			1	0
explicació			1	0
acadèmia			1	0
quelcom			1	0
menjador			1	0
sis			1	0
dues			1	0
però			1	0
temps			1	0
tarragona			1	0
damunt			1	0
taula			1	0
tres			1	0
telèfon			1	0
hi			1	0
-hi			1	0
algú			1	0
ningú			1	0
alguna cosa			1	0
ja			1	0
palma			1	0
cadascú			1	0
malgrat			1	0
li			1	0
per			1	0
tot			1	0
cal			1	0
aquí			1	0
parís			1	0
presentar			1	0
estranger			1	0
estatunidenc			1	0
mèxic			1	0
catalunya			1	0
sinó			1	0
en			1	0
esperanto			1	0
anglès			1	0
barcelona			1	0
trobar			1	0
arribar			1	0
avui			1	0
qui			1	0
prou			1	0
als			1	0
fals			1	0
nacionals			1	0
tranquil·la			1	0
sols			1	0
lògic			1	0
vertadera			1	0
mundial			1	0
similars			1	0
falsa			1	0
similar			1	0
tranquil			1	0
lògics			1	0
sola			1	0
el			1	0
gaire			1	0
dins			1	0
servir			1	0
gens			1	0
moderna			1	0
modern			1	0
comunes			1	0
comú			1	0
independent			1	0
estranys			1	0
comuna			1	0
estranyes			1	0
ideals			1	0
ideal			1	0
industrials			1	0
múltiple			1	0
múltiples			1	0
terra			1	0
gairebé			1	0
mentre			1	0
audiència			1	0
ningú			1	0
tan			1	0
ni			1	0
sabó			1	0
aconseguir			1	0
àmplies			1	0
inferiors			1	0
nombrós			1	0
inferior			1	0
màxima			1	0
ampli			1	0
nombrosos			1	0
intel·lectual			1	0
superior			1	0
nombrosa			1	0
amplis			1	0
màxim			1	0
intel·lectuals			1	0
universal			1	0
universals			1	0
força			1	0
completament			1	0
tant			1	0
només			1	0
perdut			1	0
cansades			1	0
disponibles			1	0
especials			1	0
obert			1	0
obertes			1	0
cansat			1	0
regular			1	0
malalt			1	0
oberts			1	0
perdudes			1	0
regulars			1	0
recordar			1	0
banda			1	0
arribada			1	0
orientació			1	0
cerca			1	0
viatges			1	0
fi			1	0
trànsit			1	0
orientacions			1	0
viatge			1	0
mai			1	0
cuina			1	0
habitació			1	0
dreta			1	0
exterior			1	0
entrada			1	0
dretes			1	0
sortida			1	0
costat			1	0
posicions			1	0
esquerre			1	0
posició			1	0
central			1	0
centre			1	0
esquerra			1	0
sortides			1	0
interior			1	0
rússia			1	0
francès			1	0
moscou			1	0
amèrica			1	0
europa			1	0
roma			1	0
nova york			1	0
brusel·les			1	0
dels			1	0
àfrica			1	0
argentina			1	0
xina			1	0
espanya			1	0
frança			1	0
lluny			1	0
rus			1	0
anglaterra			1	0
tampoc			1	0
potser			1	0
cubà			1	0
mexicà			1	0
mai			1	0
absolutament			1	0
britànic			1	0
americà			1	0
colombià			1	0
francès			1	0
italià			1	0
xinès			1	0
nord-americà			1	0
argentí			1	0
europeu			1	0
internacional			1	0
espanyol			1	0
català			1	0
africà			1	0
catalans			1	0
menys			1	0
bé			1	0
escacs			1	0
què			1	0
veure			1	0
qual			1	0
les			1	0
llogar			1	0
ens			1	0
sofà			1	0
sota			1	0
davant			1	0
que			1	0
ara			1	0
abans			1	0
vacances			1	0
futbol			1	0
ofegaven			1	0
feia			1	0
jugaves			1	0
cuinava			1	0
donaven			1	0
cuinaven			1	0
cuinàvem			1	0
feies			1	0
donàvem			1	0
