learnable	normalized	partOfSpeech	source
-el	-el		Duolingo
-els	-els		Duolingo
-en	-en		Duolingo
-hi	-hi		Duolingo
-ho	-ho		Duolingo
-la	-la		Duolingo
-les	-les		Duolingo
-li	-li		Duolingo
-lo	-lo		Duolingo
-los	-los		Duolingo
-me	-me		Duolingo
-ne	-ne		Duolingo
-nos	-nos		Duolingo
-se	-se		Duolingo
-vos	-vos		Duolingo
a	a		Duolingo
a dins	a dins		Duolingo
a més	a mes		Duolingo
a poc a poc	a poc a poc		Duolingo
a prop	a prop		Duolingo
a sota	a sota		Duolingo
abandonar	abandonar		Duolingo
abans	abans		Duolingo
abraçada	abracada		Duolingo
abraçades	abracades		Duolingo
abric	abric		Duolingo
abrics	abrics		Duolingo
abril	abril		Duolingo
absència	absencia		Duolingo
absolutament	absolutament		Duolingo
acaba	acaba		Duolingo
acabar	acabar		Duolingo
acaben	acaben		Duolingo
acabes	acabes		Duolingo
acadèmia	academia		Duolingo
acceptem	acceptem		Duolingo
accepten	accepten		Duolingo
acceptes	acceptes		Duolingo
accepteu	accepteu		Duolingo
accepto	accepto		Duolingo
aconseguir	aconseguir		Duolingo
aconseguit	aconseguit		Duolingo
actor	actor		Duolingo
actors	actors		Duolingo
actriu	actriu		Duolingo
actrius	actrius		Duolingo
actualment	actualment		Duolingo
actuar	actuar		Duolingo
adéu	adeu		Duolingo
admès	admes		Duolingo
adult	adult		Duolingo
advocada	advocada		Duolingo
advocades	advocades		Duolingo
advocat	advocat		Duolingo
advocats	advocats		Duolingo
aeroport	aeroport		Duolingo
aeroports	aeroports		Duolingo
afaitadora	afaitadora		Duolingo
afegeixen	afegeixen		Duolingo
afegeixes	afegeixes		Duolingo
afegeixo	afegeixo		Duolingo
afegim	afegim		Duolingo
afegiu	afegiu		Duolingo
àfrica	africa		Duolingo
agafa	agafa		Duolingo
agafar	agafar		Duolingo
agafat	agafat		Duolingo
agafeu	agafeu		Duolingo
agafo	agafo		Duolingo
agost	agost		Duolingo
agricultura	agricultura		Duolingo
ahir	ahir		Duolingo
aigua	aigua		Duolingo
aixecar	aixecar		Duolingo
així	aixi		Duolingo
això	aixo		Duolingo
