learnable	normalized	partOfSpeech	source
a	a		Duolingo
ahoj	ahoj		Duolingo
ale	ale		Duolingo
ano	ano		Duolingo
auto	auto		Duolingo
automobil	automobil		Duolingo
čaj	caj		Duolingo
časopis	casopis		Duolingo
časopisy	casopisy		Duolingo
čeká	ceka		Duolingo
čekám	cekam		Duolingo
čekáme	cekame		Duolingo
čekáš	cekas		Duolingo
čekáte	cekate		Duolingo
chápou	chapou		Duolingo
chápu	chapu		Duolingo
chce	chce		Duolingo
chceme	chceme		Duolingo
chceš	chces		Duolingo
chlapce	chlapce		Duolingo
chlapci	chlapci		Duolingo
chlapec	chlapec		Duolingo
chléb	chleb		Duolingo
chtějí	chteji		Duolingo
čí	ci		Duolingo
člověk	clovek		Duolingo
co	co		Duolingo
cukr	cukr		Duolingo
další	dalsi		Duolingo
děkuji	dekuji		Duolingo
den	den		Duolingo
děti	deti		Duolingo
děvčata	devcata		Duolingo
děvče	devce		Duolingo
díky	diky		Duolingo
dítě	dite		Duolingo
dívá	diva		Duolingo
divadlo	divadlo		Duolingo
dívají	divaji		Duolingo
dívám	divam		Duolingo
díváme	divame		Duolingo
díváte	divate		Duolingo
dívka	divka		Duolingo
dívku	divku		Duolingo
dívky	divky		Duolingo
dlouhé	dlouhe		Duolingo
dny	dny		Duolingo
dobrá	dobra		Duolingo
dobré	dobre		Duolingo
dobří	dobri		Duolingo
dobrou	dobrou		Duolingo
dobrý	dobry		Duolingo
domy	domy		Duolingo
dům	dum		Duolingo
františek	frantisek		Duolingo
františka	frantiska		Duolingo
františku	frantisku		Duolingo
hezcí	hezci		Duolingo
hezká	hezka		Duolingo
hezké	hezke		Duolingo
hezký	hezky		Duolingo
hlad	hlad		Duolingo
hledá	hleda		Duolingo
hledají	hledaji		Duolingo
hledám	hledam		Duolingo
hledáme	hledame		Duolingo
hledáš	hledas		Duolingo
hledáte	hledate		Duolingo
ho	ho		Duolingo
hoch	hoch		Duolingo
holka	holka		Duolingo
holky	holky		Duolingo
honí	honi		Duolingo
honíš	honis		Duolingo
hrad	hrad		Duolingo
hrady	hrady		Duolingo
hruška	hruska		Duolingo
hrušku	hrusku		Duolingo
hrušky	hrusky		Duolingo
husa	husa		Duolingo
husu	husu		Duolingo
husy	husy		Duolingo
já	ja		Duolingo
jablka	jablka		Duolingo
jablko	jablko		Duolingo
jací	jaci		Duolingo
jak	jak		Duolingo
jaká	jaka		Duolingo
jaké	jake		Duolingo
jakého	jakeho		Duolingo
jakou	jakou		Duolingo
jaký	jaky		Duolingo
je	je		Duolingo
jedí	jedi		Duolingo
jeho	jeho		Duolingo
jej	jej		Duolingo
její	jeji		Duolingo
jejich	jejich		Duolingo
jejího	jejiho		Duolingo
jí	ji		Duolingo
jídla	jidla		Duolingo
jídlo	jidlo		Duolingo
jím	jim		Duolingo
jíme	jime		Duolingo
jiná	jina		Duolingo
jiné	jine		Duolingo
jiní	jini		Duolingo
jiný	jiny		Duolingo
jíš	jis		Duolingo
jíte	jite		Duolingo
jména	jmena		Duolingo
jméno	jmeno		Duolingo
jsem	jsem		Duolingo
jsi	jsi		Duolingo
jsme	jsme		Duolingo
jsou	jsou		Duolingo
jste	jste		Duolingo
kachna	kachna		Duolingo
kachnu	kachnu		Duolingo
kachny	kachny		Duolingo
kateřina	katerina		Duolingo
kateřino	katerino		Duolingo
kateřinu	katerinu		Duolingo
káva	kava		Duolingo
kávu	kavu		Duolingo
kde	kde		Duolingo
kdo	kdo		Duolingo
kdy	kdy		Duolingo
kluci	kluci		Duolingo
kluk	kluk		Duolingo
kniha	kniha		Duolingo
knihu	knihu		Duolingo
knihy	knihy		Duolingo
kočka	kocka		Duolingo
kočku	kocku		Duolingo
kočky	kocky		Duolingo
koho	koho		Duolingo
koně	kone		Duolingo
koza	koza		Duolingo
kozu	kozu		Duolingo
kozy	kozy		Duolingo
krátké	kratke		Duolingo
kráva	krava		Duolingo
krávu	kravu		Duolingo
krávy	kravy		Duolingo
která	ktera		Duolingo
které	ktere		Duolingo
kterého	ktereho		Duolingo
kterou	kterou		Duolingo
který	ktery		Duolingo
kůň	kun		Duolingo
kuře	kure		Duolingo
láska	laska		Duolingo
lidé	lide		Duolingo
liška	liska		Duolingo
lišku	lisku		Duolingo
lišky	lisky		Duolingo
má	ma		Duolingo
mají	maji		Duolingo
malá	mala		Duolingo
malé	male		Duolingo
malého	maleho		Duolingo
malí	mali		Duolingo
malou	malou		Duolingo
malý	maly		Duolingo
mám	mam		Duolingo
máme	mame		Duolingo
manžel	manzel		Duolingo
manželé	manzele		Duolingo
manželka	manzelka		Duolingo
máš	mas		Duolingo
mašina	masina		Duolingo
mašiny	masiny		Duolingo
maso	maso		Duolingo
máte	mate		Duolingo
matěj	matej		Duolingo
matěje	mateje		Duolingo
matěji	mateji		Duolingo
mé	me		Duolingo
medvěd	medved		Duolingo
medvědy	medvedy		Duolingo
mého	meho		Duolingo
města	mesta		Duolingo
město	mesto		Duolingo
mí	mi		Duolingo
mladá	mlada		Duolingo
mladé	mlade		Duolingo
mladí	mladi		Duolingo
mladý	mlady		Duolingo
mléko	mleko		Duolingo
mne	mne		Duolingo
moje	moje		Duolingo
moji	moji		Duolingo
moře	more		Duolingo
mou	mou		Duolingo
moucha	moucha		Duolingo
mouchu	mouchu		Duolingo
mouchy	mouchy		Duolingo
můj	muj		Duolingo
muž	muz		Duolingo
muže	muze		Duolingo
muži	muzi		Duolingo
my	my		Duolingo
myš	mys		Duolingo
myši	mysi		Duolingo
myslí	mysli		Duolingo
myslím	myslim		Duolingo
myslíme	myslime		Duolingo
na	na		Duolingo
na shledanou	na shledanou		Duolingo
náměstí	namesti		Duolingo
náš	nas		Duolingo
naše	nase		Duolingo
našeho	naseho		Duolingo
naši	nasi		Duolingo
ne	ne		Duolingo
nebo	nebo		Duolingo
nečeká	neceka		Duolingo
nečekám	necekam		Duolingo
nečekáme	necekame		Duolingo
nechápe	nechape		Duolingo
nechápeš	nechapes		Duolingo
nechápou	nechapou		Duolingo
nedívá	nediva		Duolingo
nedívám	nedivam		Duolingo
nedíváme	nedivame		Duolingo
nehledají	nehledaji		Duolingo
nehledáme	nehledame		Duolingo
nehledáte	nehledate		Duolingo
něho	neho		Duolingo
něj	nej		Duolingo
nejí	neji		Duolingo
nejím	nejim		Duolingo
nejíme	nejime		Duolingo
nejíš	nejis		Duolingo
nejíte	nejite		Duolingo
nejsem	nejsem		Duolingo
nejsi	nejsi		Duolingo
nejsme	nejsme		Duolingo
nejsou	nejsou		Duolingo
nejste	nejste		Duolingo
nemá	nema		Duolingo
nemají	nemaji		Duolingo
nemám	nemam		Duolingo
nemáme	nemame		Duolingo
nemáš	nemas		Duolingo
nemáte	nemate		Duolingo
nemyslí	nemysli		Duolingo
nemyslím	nemyslim		Duolingo
není	neni		Duolingo
nepije	nepije		Duolingo
nepijeme	nepijeme		Duolingo
nepijete	nepijete		Duolingo
nepijí	nepiji		Duolingo
nepiju	nepiju		Duolingo
nepotřebujeme	nepotrebujeme		Duolingo
nepotřebují	nepotrebuji		Duolingo
nepotřebuju	nepotrebuju		Duolingo
neslyší	neslysi		Duolingo
neslyším	neslysim		Duolingo
neslyšíme	neslysime		Duolingo
nesnáší	nesnasi		Duolingo
nesnáším	nesnasim		Duolingo
nesnášíme	nesnasime		Duolingo
nestarají	nestaraji		Duolingo
nestarám	nestaram		Duolingo
nestaráme	nestarame		Duolingo
nestaráš	nestaras		Duolingo
nevidí	nevidi		Duolingo
nevidím	nevidim		Duolingo
nevidíš	nevidis		Duolingo
nezajímá	nezajima		Duolingo
nezajímám	nezajimam		Duolingo
neznám	neznam		Duolingo
ni	ni		Duolingo
noc	noc		Duolingo
noci	noci		Duolingo
nová	nova		Duolingo
nové	nove		Duolingo
noví	novi		Duolingo
nový	novy		Duolingo
o	o		Duolingo
odpoledne	odpoledne		Duolingo
on	on		Duolingo
ona	ona		Duolingo
oni	oni		Duolingo
ono	ono		Duolingo
ony	ony		Duolingo
osel	osel		Duolingo
osla	osla		Duolingo
osli	osli		Duolingo
osly	osly		Duolingo
osoba	osoba		Duolingo
osoby	osoby		Duolingo
ovce	ovce		Duolingo
ovci	ovci		Duolingo
pavouci	pavouci		Duolingo
pavouk	pavouk		Duolingo
pavouka	pavouka		Duolingo
pavouky	pavouky		Duolingo
pije	pije		Duolingo
pijeme	pijeme		Duolingo
piješ	pijes		Duolingo
pijete	pijete		Duolingo
pijí	piji		Duolingo
pijou	pijou		Duolingo
piju	piju		Duolingo
pivo	pivo		Duolingo
polévka	polevka		Duolingo
polévku	polevku		Duolingo
poslední	posledni		Duolingo
posledního	posledniho		Duolingo
potřebuje	potrebuje		Duolingo
potřebujeme	potrebujeme		Duolingo
potřebuješ	potrebujes		Duolingo
potřebuji	potrebuji		Duolingo
prasata	prasata		Duolingo
prase	prase		Duolingo
přítel	pritel		Duolingo
přítelkyně	pritelkyne		Duolingo
pro	pro		Duolingo
proč	proc		Duolingo
prosím	prosim		Duolingo
psa	psa		Duolingo
psi	psi		Duolingo
psy	psy		Duolingo
ptáci	ptaci		Duolingo
pták	ptak		Duolingo
ptáka	ptaka		Duolingo
rád	rad		Duolingo
ráda	rada		Duolingo
raději	radeji		Duolingo
rádi	radi		Duolingo
rádo	rado		Duolingo
rády	rady		Duolingo
ráno	rano		Duolingo
ryba	ryba		Duolingo
rybu	rybu		Duolingo
ryby	ryby		Duolingo
se	se		Duolingo
slepice	slepice		Duolingo
slepici	slepici		Duolingo
slova	slova		Duolingo
slovo	slovo		Duolingo
slyší	slysi		Duolingo
slyším	slysim		Duolingo
slyšíme	slysime		Duolingo
špatná	spatna		Duolingo
špatné	spatne		Duolingo
špatný	spatny		Duolingo
stará	stara		Duolingo
starám	staram		Duolingo
staráme	starame		Duolingo
staré	stare		Duolingo
staří	stari		Duolingo
starý	stary		Duolingo
stroj	stroj		Duolingo
stroje	stroje		Duolingo
