learnable	normalized	partOfSpeech	source
ab	ab		Duolingo
ab	ab	preposition	Duolingo
ab wann	ab wann		Duolingo
abend	abend	noun	Duolingo
abendessen	abendessen	noun	Duolingo
abends	abends	adverb	Duolingo
abenteuer	abenteuer	noun	Duolingo
aber	aber	conjunction	Duolingo
abfahrt	abfahrt	noun	Duolingo
abflug	abflug	noun	Duolingo
abgeben	abgeben		Duolingo
Abgeordnete	abgeordnete	noun	Duolingo
Abgeordneten	abgeordneten	noun	Duolingo
abgeschrieben	abgeschrieben		Duolingo
abgestürzt	abgesturzt	verb	Duolingo
abgewaschen	abgewaschen		Duolingo
abgewaschen	abgewaschen	verb	Duolingo
abhängig	abhangig	adjective	Duolingo
abheben	abheben		Duolingo
abholen	abholen	verb	Duolingo
Abiball	abiball	noun	Duolingo
abitur	abitur	noun	Duolingo
abnehmen	abnehmen		Duolingo
abnehmen	abnehmen	verb	Duolingo
abschluss	abschluss	noun	Duolingo
abteilung	abteilung	noun	Duolingo
abtrocknen	abtrocknen		Duolingo
abwaschen	abwaschen	verb	Duolingo
abzugeben	abzugeben		Duolingo
abzuholen	abzuholen		Duolingo
ach so	ach so		Duolingo
acht	acht	numeral	Duolingo
achthundert	achthundert	numeral	Duolingo
achtunddreißig	achtunddreissig	numeral	Duolingo
achtundsiebzig	achtundsiebzig	numeral	Duolingo
achtundzwanzig	achtundzwanzig	numeral	Duolingo
achtung	achtung		Duolingo
achtzehn	achtzehn	numeral	Duolingo
achtzehnten	achtzehnten	adjective	Duolingo
achtzig	achtzig	numeral	Duolingo
adler	adler	noun	Duolingo
adresse	adresse	noun	Duolingo
adressen	adressen	noun	Duolingo
affe	affe	noun	Duolingo
affen	affen	noun	Duolingo
afrika	afrika	noun	Duolingo
ägypten	agypten	noun	Duolingo
ähnlich	ahnlich	adjective	Duolingo
ähnlichen	ahnlichen	adjective	Duolingo
ahnung	ahnung	noun	Duolingo
akku	akku	noun	Duolingo
akte	akte	noun	Duolingo
akten	akten	noun	Duolingo
aktentasche	aktentasche	noun	Duolingo
aktiv	aktiv	adjective	Duolingo
aktive	aktive	adjective	Duolingo
aktivität	aktivitat	noun	Duolingo
aktivitäten	aktivitaten	noun	Duolingo
aktuelle	aktuelle	adjective	Duolingo
album	album	noun	Duolingo
alkohol	alkohol	noun	Duolingo
alle	alle	determiner	Duolingo
alle	alle	pronoun	Duolingo
allein	allein	adjective	Duolingo
allein	allein	adverb	Duolingo
alleine	alleine	adverb	Duolingo
allen	allen	determiner	Duolingo
aller	aller	determiner	Duolingo
allerdings	allerdings	adverb	Duolingo
allergien	allergien	noun	Duolingo
alles	alles	determiner	Duolingo
alles	alles	pronoun	Duolingo
alles gute	alles gute		Duolingo
alles klar	alles klar		Duolingo
allgemein	allgemein	adjective	Duolingo
alpen	alpen	noun	Duolingo
als	als		Duolingo
als	als	adverb	Duolingo
als	als	conjunction	Duolingo
also	also	adverb	Duolingo
ält	alt		Duolingo
alt	alt	adjective	Duolingo
alte	alte	adjective	Duolingo
alten	alten	adjective	Duolingo
älter	alter		Duolingo
alter	alter	adjective	Duolingo
alter	alter	noun	Duolingo
älteren	alteren	adjective	Duolingo
Altersheim	altersheim	noun	Duolingo
altes	altes	adjective	Duolingo
ältesten	altesten	adjective	Duolingo
ältestes	altestes	adjective	Duolingo
