learnable	normalized	partOfSpeech	source
'	'		Duolingo
'd	'd	verb	Duolingo
'd better	'd better	verb	Duolingo
'd better not	'd better not	verb	Duolingo
'd rather	'd rather	verb	Duolingo
'll	'll		Duolingo
'm not	'm not		Duolingo
's	's		Duolingo
's	's	verb	Duolingo
've	've	verb	Duolingo
0	0	numeral	Duolingo
1	1	numeral	Duolingo
1802	1802		Duolingo
1984	1984	noun	Duolingo
1992	1992		Duolingo
2005	2005	noun	Duolingo
2016	2016		Duolingo
2017	2017		Duolingo
2020	2020	noun	Duolingo
9	9	numeral	Duolingo
911	911	numeral	Duolingo
a	a		Duolingo
a	a	determiner	Duolingo
a	a	preposition	Duolingo
a bit	a bit		Duolingo
a bit of	a bit of	noun	Duolingo
a few	a few		Duolingo
a few	a few	adjective	Duolingo
a little	a little		Duolingo
a little	a little	preposition	Duolingo
a little	a little	pronoun	Duolingo
a lot	a lot		Duolingo
a lot	a lot	adverb	Duolingo
a lot of	a lot of		Duolingo
a side of	a side of		Duolingo
a.m.	a.m.		Duolingo
a.m.	a.m.	adjective	Duolingo
a.m.	a.m.	adverb	Duolingo
able	able	adjective	Duolingo
about	about	adverb	Duolingo
about	about	preposition	Duolingo
about to	about to	preposition	Duolingo
above	above		Duolingo
above	above	adverb	Duolingo
above	above	preposition	Duolingo
abroad	abroad	adverb	Duolingo
absent	absent	adjective	Duolingo
accept	accept	verb	Duolingo
access	access	noun	Duolingo
accident	accident	noun	Duolingo
accidentally	accidentally	adverb	Duolingo
according	according	preposition	Duolingo
according to	according to		Duolingo
aches	aches	noun	Duolingo
achieve	achieve	verb	Duolingo
across	across	adverb	Duolingo
across	across	preposition	Duolingo
across from	across from		Duolingo
across from	across from	adverb	Duolingo
action	action	noun	Duolingo
actions	actions	noun	Duolingo
activities	activities	noun	Duolingo
activity	activity	noun	Duolingo
actor	actor	noun	Duolingo
actors	actors	noun	Duolingo
actress	actress	noun	Duolingo
actresses	actresses	noun	Duolingo
acts	acts	verb	Duolingo
actually	actually	adverb	Duolingo
actually	actually	interjection	Duolingo
add	add	verb	Duolingo
added	added	verb	Duolingo
address	address	noun	Duolingo
adds	adds	verb	Duolingo
admission	admission	noun	Duolingo
advanced	advanced	adjective	Duolingo
advantage	advantage	noun	Duolingo
advantages	advantages	noun	Duolingo
adventure	adventure	noun	Duolingo
adventures	adventures	noun	Duolingo
advertisement	advertisement	noun	Duolingo
advertisements	advertisements	noun	Duolingo
advertising	advertising	verb	Duolingo
advice	advice	noun	Duolingo
affect	affect	verb	Duolingo
afraid	afraid	adjective	Duolingo
africa	africa		Duolingo
africa	africa	proper noun	Duolingo
african	african	adjective	Duolingo
after	after	adverb	Duolingo
after	after	conjunction	Duolingo
after	after	preposition	Duolingo
after that	after that		Duolingo
afternoon	afternoon	noun	Duolingo
afterward	afterward	adverb	Duolingo
again	again	adverb	Duolingo
against	against	preposition	Duolingo
age	age	noun	Duolingo
agent	agent	noun	Duolingo
ages	ages	noun	Duolingo
ago	ago	adverb	Duolingo
agree	agree	verb	Duolingo
agreed	agreed	verb	Duolingo
ahead	ahead	adverb	Duolingo
ahead of time	ahead of time	adverb	Duolingo
air	air	noun	Duolingo
air conditioning	air conditioning		Duolingo
air conditioning	air conditioning	noun	Duolingo
airplane	airplane	noun	Duolingo
airport	airport		Duolingo
airport	airport	noun	Duolingo
airports	airports	noun	Duolingo
alarm	alarm	noun	Duolingo
alcohol	alcohol	noun	Duolingo
alcoholic	alcoholic	adjective	Duolingo
alexa	alexa	proper noun	Duolingo
alike	alike	adjective	Duolingo
alive	alive	adjective	Duolingo
all	all	adjective	Duolingo
all	all	adverb	Duolingo
all	all	determiner	Duolingo
all	all	pronoun	Duolingo
all about	all about		Duolingo
all day	all day		Duolingo
all kinds of	all kinds of		Duolingo
all morning	all morning		Duolingo
all night	all night		Duolingo
all of	all of		Duolingo
all over	all over		Duolingo
all right	all right		Duolingo
all right	all right	adjective	Duolingo
all the time	all the time		Duolingo
allergic	allergic	adjective	Duolingo
allow	allow	verb	Duolingo
allowed	allowed	verb	Duolingo
allowed to	allowed to	adjective	Duolingo
allows	allows	verb	Duolingo
almost	almost	adverb	Duolingo
alone	alone	adjective	Duolingo
alone	alone	adverb	Duolingo
along	along	adverb	Duolingo
along	along	preposition	Duolingo
aloud	aloud	adverb	Duolingo
already	already	adverb	Duolingo
alright	alright	adjective	Duolingo
alright	alright	interjection	Duolingo
also	also	adverb	Duolingo
although	although	conjunction	Duolingo
always	always	adverb	Duolingo
am	am	verb	Duolingo
am i	am i	verb	Duolingo
am not	am not		Duolingo
amazed	amazed	adjective	Duolingo
amazing	amazing	adjective	Duolingo
amazingly	amazingly	adverb	Duolingo
ambulance	ambulance	noun	Duolingo
america	america		Duolingo
America	america	noun	Duolingo
america	america	proper noun	Duolingo
american	american	adjective	Duolingo
americans	americans	noun	Duolingo
americans	americans	proper noun	Duolingo
among	among	preposition	Duolingo
amount	amount	noun	Duolingo
an	an		Duolingo
an	an	determiner	Duolingo
analyze	analyze	verb	Duolingo
ancient	ancient	adjective	Duolingo
and	and	conjunction	Duolingo
and then	and then		Duolingo
and you	and you		Duolingo
angry	angry	adjective	Duolingo
angry that	angry that		Duolingo
animal	animal	noun	Duolingo
animals	animals	noun	Duolingo
animated	animated	adjective	Duolingo
animation	animation	noun	Duolingo
anime	anime	noun	Duolingo
announce	announce	verb	Duolingo
announces	announces	verb	Duolingo
annoyed	annoyed	adjective	Duolingo
annoying	annoying	adjective	Duolingo
annual	annual	adjective	Duolingo
another	another	adjective	Duolingo
another	another	determiner	Duolingo
another one	another one		Duolingo
another time	another time		Duolingo
answer	answer	noun	Duolingo
answer	answer	verb	Duolingo
answered	answered	verb	Duolingo
answering	answering	verb	Duolingo
answers	answers	noun	Duolingo
answers	answers	verb	Duolingo
antique	antique	adjective	Duolingo
anxious	anxious	adjective	Duolingo
any	any		Duolingo
any	any	adjective	Duolingo
any	any	adverb	Duolingo
any	any	determiner	Duolingo
any	any	pronoun	Duolingo
anybody	anybody	pronoun	Duolingo
anymore	anymore	adverb	Duolingo
anyone	anyone	pronoun	Duolingo
anything	anything		Duolingo
anything	anything	adverb	Duolingo
anything	anything	noun	Duolingo
anything	anything	pronoun	Duolingo
anything else	anything else		Duolingo
anyway	anyway	adverb	Duolingo
anywhere	anywhere	adverb	Duolingo
apartment	apartment	noun	Duolingo
app	app	noun	Duolingo
appear	appear	verb	Duolingo
appeared	appeared	verb	Duolingo
appears	appears	verb	Duolingo
apple	apple	noun	Duolingo
apple juice	apple juice		Duolingo
apples	apples	noun	Duolingo
application	application	noun	Duolingo
applications	applications	noun	Duolingo
applied	applied	verb	Duolingo
apply	apply	verb	Duolingo
appointment	appointment	noun	Duolingo
appointments	appointments	noun	Duolingo
appreciate	appreciate	verb	Duolingo
approximate	approximate	adjective	Duolingo
approximately	approximately	adverb	Duolingo
apps	apps	noun	Duolingo
april	april	noun	Duolingo
arabic	arabic	adjective	Duolingo
arabic	arabic	noun	Duolingo
architect	architect	noun	Duolingo
architecture	architecture	noun	Duolingo
are	are		Duolingo
are	are	verb	Duolingo
are being	are being		Duolingo
are there	are there		Duolingo
are they	are they		Duolingo
are you	are you		Duolingo
area	area	noun	Duolingo
aren't	aren't		Duolingo
aren't	aren't	adverb	Duolingo
aren't	aren't	verb	Duolingo
aren't any	aren't any		Duolingo
aren't i	aren't i	verb	Duolingo
aren't there	aren't there		Duolingo
aren't you	aren't you		Duolingo
argentina	argentina	proper noun	Duolingo
argument	argument	noun	Duolingo
arguments	arguments	noun	Duolingo
arm	arm	noun	Duolingo
armchair	armchair	noun	Duolingo
arms	arms	noun	Duolingo
army	army	noun	Duolingo
around	around	adverb	Duolingo
around	around	preposition	Duolingo
around noon	around noon		Duolingo
arrive	arrive	verb	Duolingo
arrived	arrived	verb	Duolingo
arrives	arrives	verb	Duolingo
arriving	arriving	verb	Duolingo
art	art	noun	Duolingo
article	article	noun	Duolingo
artist	artist	noun	Duolingo
artists	artists	noun	Duolingo
arts	arts	noun	Duolingo
as	as	adverb	Duolingo
as	as	conjunction	Duolingo
as	as	preposition	Duolingo
as i was saying	as i was saying		Duolingo
as many	as many		Duolingo
as much as	as much as	adverb	Duolingo
as possible	as possible		Duolingo
as soon as	as soon as	conjunction	Duolingo
as soon as possible	as soon as possible		Duolingo
as soon as possible	as soon as possible	adverb	Duolingo
as usual	as usual		Duolingo
