learnable	normalized	partOfSpeech	source
!	!		Duolingo
¡	!		Duolingo
?	?		Duolingo
¿	?		Duolingo
a	a		Duolingo
a	a	preposition	Duolingo
a continuación	a continuacion		Duolingo
a cuánto	a cuanto		Duolingo
a distancia	a distancia		Duolingo
a dónde	a donde		Duolingo
a él	a el		Duolingo
a él le	a el le		Duolingo
a él le gustan	a el le gustan		Duolingo
a ella le	a ella le		Duolingo
a ella le gusta	a ella le gusta		Duolingo
a eso de	a eso de	adverb	Duolingo
a fin de	a fin de		Duolingo
a fin de cuentas	a fin de cuentas		Duolingo
a fondo	a fondo		Duolingo
a la perfección	a la perfeccion		Duolingo
a la venta	a la venta		Duolingo
a la vez	a la vez	adverb	Duolingo
a lo largo de	a lo largo de		Duolingo
a lo largo del	a lo largo del		Duolingo
a lo mejor	a lo mejor		Duolingo
a menudo	a menudo		Duolingo
a mí	a mi		Duolingo
a mí me	a mi me		Duolingo
a mí me gusta	a mi me gusta		Duolingo
a nosotros	a nosotros		Duolingo
a pie	a pie		Duolingo
a primera hora	a primera hora		Duolingo
a primera vista	a primera vista		Duolingo
a propósito	a proposito		Duolingo
a punto de	a punto de		Duolingo
a qué distancia	a que distancia		Duolingo
a qué hora	a que hora		Duolingo
a ti	a ti		Duolingo
a ti te	a ti te		Duolingo
a ti te gustan	a ti te gustan		Duolingo
a tiempo	a tiempo		Duolingo
a través de	a traves de		Duolingo
a través del	a traves del		Duolingo
a usted	a usted		Duolingo
a ustedes	a ustedes		Duolingo
a veces	a veces		Duolingo
a ver	a ver		Duolingo
abajo	abajo	adverb	Duolingo
abandonar	abandonar	verb	Duolingo
abierta	abierta	adjective	Duolingo
abiertas	abiertas	adjective	Duolingo
abierto	abierto	adjective	Duolingo
abiertos	abiertos	adjective	Duolingo
abogada	abogada	noun	Duolingo
abogado	abogado	noun	Duolingo
abogados	abogados	noun	Duolingo
abran	abran	verb	Duolingo
abras	abras	verb	Duolingo
abrazo	abrazo	noun	Duolingo
abre	abre	verb	Duolingo
abrelatas	abrelatas	noun	Duolingo
abren	abren		Duolingo
abren	abren	verb	Duolingo
abres	abres	verb	Duolingo
abres la	abres la		Duolingo
abrí	abri	verb	Duolingo
abriendo	abriendo	verb	Duolingo
abrieron	abrieron	verb	Duolingo
abrigo	abrigo		Duolingo
abrigo	abrigo	noun	Duolingo
abrigos	abrigos	noun	Duolingo
abril	abril	noun	Duolingo
abrimos	abrimos	verb	Duolingo
abrió	abrio	verb	Duolingo
abrir	abrir	verb	Duolingo
abrirlo	abrirlo		Duolingo
abrirlos	abrirlos	pronoun	Duolingo
abriste	abriste	verb	Duolingo
abro	abro	verb	Duolingo
absolutamente	absolutamente	adverb	Duolingo
abuela	abuela		Duolingo
abuela	abuela	noun	Duolingo
abuelita	abuelita	noun	Duolingo
abuelito	abuelito	noun	Duolingo
abuelitos	abuelitos	noun	Duolingo
abuelo	abuelo		Duolingo
abuelo	abuelo	noun	Duolingo
abuelos	abuelos	noun	Duolingo
aburridas	aburridas	adjective	Duolingo
aburridísima	aburridisima	adjective	Duolingo
aburridísimo	aburridisimo	adjective	Duolingo
aburridos	aburridos	adjective	Duolingo
acá	aca	adverb	Duolingo
acaba	acaba	verb	Duolingo
acabamos de	acabamos de		Duolingo
acabar	acabar	verb	Duolingo
acabas de	acabas de		Duolingo
acabo de	acabo de		Duolingo
academia	academia	noun	Duolingo
acampaba	acampaba	verb	Duolingo
acamparán	acamparan	verb	Duolingo
acamparé	acampare	verb	Duolingo
acamparemos	acamparemos	verb	Duolingo
acampas	acampas	verb	Duolingo
acceso	acceso	noun	Duolingo
acción	accion	noun	Duolingo
acciones	acciones	noun	Duolingo
aceite	aceite	noun	Duolingo
acepta	acepta	verb	Duolingo
aceptar	aceptar	verb	Duolingo
acepto	acepto	verb	Duolingo
acerca	acerca	preposition	Duolingo
ácido	acido	adjective	Duolingo
acompañaba	acompanaba	verb	Duolingo
acompañaban	acompanaban	verb	Duolingo
acompañar	acompanar	verb	Duolingo
acompañarán	acompanaran	verb	Duolingo
acompañó	acompano	verb	Duolingo
aconseja	aconseja	verb	Duolingo
aconsejas	aconsejas	verb	Duolingo
aconsejo	aconsejo	verb	Duolingo
acordarnos	acordarnos	pronoun	Duolingo
acordarte	acordarte	pronoun	Duolingo
acostarme	acostarme	pronoun	Duolingo
acostarse	acostarse	pronoun	Duolingo
acostarte	acostarte	pronoun	Duolingo
actitud	actitud	noun	Duolingo
actitudes	actitudes	noun	Duolingo
actividad	actividad	noun	Duolingo
actividades	actividades	noun	Duolingo
activos	activos	adjective	Duolingo
acto	acto	noun	Duolingo
actor	actor	noun	Duolingo
actores	actores	noun	Duolingo
actos	actos	noun	Duolingo
actuación	actuacion	noun	Duolingo
actualmente	actualmente	adverb	Duolingo
actuar	actuar	verb	Duolingo
acuerdo	acuerdo	noun	Duolingo
adecuada	adecuada	adjective	Duolingo
adecuado	adecuado	adjective	Duolingo
adelante	adelante	adverb	Duolingo
además	ademas	adverb	Duolingo
además de	ademas de		Duolingo
adentro	adentro	adverb	Duolingo
adicional	adicional	adjective	Duolingo
adiós	adios	interjection	Duolingo
adivinaremos	adivinaremos	verb	Duolingo
administración	administracion	noun	Duolingo
adónde	adonde	adverb	Duolingo
adulta	adulta	noun	Duolingo
adultas	adultas	noun	Duolingo
adulto	adulto	noun	Duolingo
adultos	adultos	noun	Duolingo
aeropuerto	aeropuerto		Duolingo
aeropuerto	aeropuerto	noun	Duolingo
aeropuertos	aeropuertos	noun	Duolingo
afecta	afecta	verb	Duolingo
afortunadamente	afortunadamente	adverb	Duolingo
afuera	afuera	adverb	Duolingo
agencia	agencia	noun	Duolingo
agente	agente	noun	Duolingo
agentes	agentes	noun	Duolingo
agosto	agosto	noun	Duolingo
agradables	agradables	adjective	Duolingo
agradecer	agradecer	verb	Duolingo
agradezco	agradezco	verb	Duolingo
agrega	agrega	verb	Duolingo
agregar	agregar	verb	Duolingo
agregué	agregue	verb	Duolingo
agricultores	agricultores	noun	Duolingo
agricultura	agricultura	noun	Duolingo
agua	agua	noun	Duolingo
aguacate	aguacate	noun	Duolingo
aguacates	aguacates	noun	Duolingo
ah	ah	interjection	Duolingo
ahí	ahi	adverb	Duolingo
ahora	ahora	adverb	Duolingo
ahora mismo	ahora mismo		Duolingo
ahora sí	ahora si		Duolingo
ahorrar	ahorrar	verb	Duolingo
ahorros	ahorros	noun	Duolingo
aire	aire	noun	Duolingo
ajedrez	ajedrez	noun	Duolingo
ajo	ajo	noun	Duolingo
al	al	preposition	Duolingo
al aire libre	al aire libre		Duolingo
al conducir	al conducir		Duolingo
al contrario	al contrario		Duolingo
al cruzar	al cruzar		Duolingo
al entrar	al entrar		Duolingo
al escuchar	al escuchar		Duolingo
al final	al final		Duolingo
al lado	al lado		Duolingo
al llegar	al llegar		Duolingo
al menos	al menos		Duolingo
al mismo tiempo	al mismo tiempo		Duolingo
al poco tiempo	al poco tiempo	adverb	Duolingo
al rato	al rato		Duolingo
al regresar	al regresar		Duolingo
al revés	al reves		Duolingo
al salir	al salir		Duolingo
al ver	al ver		Duolingo
alcalde	alcalde	noun	Duolingo
alcaldesa	alcaldesa	noun	Duolingo
alcanza	alcanza	verb	Duolingo
alcanzar	alcanzar	verb	Duolingo
alcanzó	alcanzo	verb	Duolingo
alcohol	alcohol	noun	Duolingo
alegre	alegre	adjective	Duolingo
alegres	alegres	adjective	Duolingo
alegría	alegria	noun	Duolingo
alejadas	alejadas	adjective	Duolingo
alejados	alejados	adjective	Duolingo
alemania	alemania	proper noun	Duolingo
alfombras	alfombras	noun	Duolingo
algo	algo	pronoun	Duolingo
algo de	algo de		Duolingo
algo más	algo mas		Duolingo
alguien	alguien	pronoun	Duolingo
algún	algun	determiner	Duolingo
algún día	algun dia		Duolingo
alguna	alguna	determiner	Duolingo
alguna	alguna	pronoun	Duolingo
alguna vez	alguna vez		Duolingo
algunas	algunas	determiner	Duolingo
alguno	alguno	pronoun	Duolingo
algunos	algunos	determiner	Duolingo
algunos	algunos	pronoun	Duolingo
allá	alla	adverb	Duolingo
allí	alli	adverb	Duolingo
alma	alma	noun	Duolingo
almas	almas	noun	Duolingo
almohadas	almohadas	noun	Duolingo
almorcé	almorce	verb	Duolingo
almorzaban	almorzaban	verb	Duolingo
almorzabas	almorzabas	verb	Duolingo
almorzamos	almorzamos	verb	Duolingo
almorzar	almorzar	verb	Duolingo
almorzaron	almorzaron	verb	Duolingo
almuerza	almuerza	verb	Duolingo
almuerzan	almuerzan	verb	Duolingo
almuerzas	almuerzas	verb	Duolingo
almuerzo	almuerzo	noun	Duolingo
almuerzo	almuerzo	verb	Duolingo
alquilar	alquilar	verb	Duolingo
alquiler	alquiler	noun	Duolingo
alrededor	alrededor	adverb	Duolingo
alrededor del	alrededor del		Duolingo
alrededores	alrededores		Duolingo
alta	alta	adjective	Duolingo
altas	altas	adjective	Duolingo
alternativa	alternativa	noun	Duolingo
alternativas	alternativas	noun	Duolingo
alto	alto	adjective	Duolingo
alto	alto	adverb	Duolingo
altos	altos	adjective	Duolingo
altura	altura	noun	Duolingo
aluminio	aluminio	noun	Duolingo
ama de casa	ama de casa		Duolingo
amabilidad	amabilidad	noun	Duolingo
amables	amables	adjective	Duolingo
amar	amar	verb	Duolingo
amarilla	amarilla	adjective	Duolingo
amarillas	amarillas	adjective	Duolingo
amarillo	amarillo	adjective	Duolingo
amarillos	amarillos	adjective	Duolingo
amas de casa	amas de casa		Duolingo
ambas	ambas	determiner	Duolingo
ambas	ambas	pronoun	Duolingo
ambiente	ambiente	noun	Duolingo
ambos	ambos	determiner	Duolingo
ambos	ambos	pronoun	Duolingo
ambulancia	ambulancia	noun	Duolingo
amé	ame	verb	Duolingo
américa	america	proper noun	Duolingo
americana	americana	adjective	Duolingo
americanas	americanas	adjective	Duolingo
americano	americano	adjective	Duolingo
americanos	americanos	adjective	Duolingo
amiga	amiga	noun	Duolingo
amigas	amigas	noun	Duolingo
amigo	amigo	noun	Duolingo
amigos	amigos	noun	Duolingo
amistad	amistad	noun	Duolingo
amó	amo	verb	Duolingo
amor	amor	noun	Duolingo
amplia	amplia	adjective	Duolingo
amplio	amplio	adjective	Duolingo
añade	anade	verb	Duolingo
añadir	anadir	verb	Duolingo
análisis	analisis	noun	Duolingo
análisis de sangre	analisis de sangre		Duolingo
