learnable	normalized	partOfSpeech	source
-	-		Duolingo
-ci	-ci		Duolingo
-cinq	-cinq		Duolingo
-deux	-deux		Duolingo
-dix-sept	-dix-sept		Duolingo
-douze	-douze		Duolingo
-huit	-huit		Duolingo
-là	-la		Duolingo
-même	-meme		Duolingo
-même	-meme	adjective	Duolingo
-mêmes	-memes		Duolingo
-neuf	-neuf		Duolingo
-onze	-onze		Duolingo
-quatre	-quatre		Duolingo
-sept	-sept		Duolingo
-six	-six		Duolingo
-souris	-souris		Duolingo
-t-	-t-		Duolingo
-toi	-toi		Duolingo
-trois	-trois		Duolingo
-un	-un		Duolingo
-vous	-vous		Duolingo
?	?		Duolingo
1970	1970	numeral	Duolingo
2050	2050	numeral	Duolingo
à	a		Duolingo
à	a	preposition	Duolingo
a	a	verb	Duolingo
à bientôt	a bientot		Duolingo
à boire	a boire		Duolingo
à bord	a bord		Duolingo
à café	a cafe		Duolingo
à cause	a cause		Duolingo
à cause de	a cause de		Duolingo
à ce moment-là	a ce moment-la		Duolingo
à cette époque	a cette epoque		Duolingo
à clé	a cle		Duolingo
à côté	a cote		Duolingo
à côté de	a cote de		Duolingo
à demain	a demain		Duolingo
à droite	a droite		Duolingo
à emporter	a emporter		Duolingo
à faire	a faire		Duolingo
à finir	a finir		Duolingo
à force	a force	conjunction	Duolingo
à gauche	a gauche		Duolingo
à haut débit	a haut debit		Duolingo
a honte	a honte		Duolingo
à jour	a jour		Duolingo
à l'	a l'		Duolingo
à l'abandon	a l'abandon		Duolingo
à l'aise	a l'aise		Duolingo
à l'avance	a l'avance		Duolingo
à l'envers	a l'envers		Duolingo
à l'étage	a l'etage		Duolingo
à l'étranger	a l'etranger		Duolingo
à l'extérieur	a l'exterieur		Duolingo
à l'heure	a l'heure		Duolingo
à l'intérieur	a l'interieur		Duolingo
à la	a la		Duolingo
à la campagne	a la campagne		Duolingo
à la dernière minute	a la derniere minute	adverb	Duolingo
à la fois	a la fois		Duolingo
à la main	a la main		Duolingo
à la mode	a la mode		Duolingo
