learnable	normalized	partOfSpeech	source
?	?		Duolingo
a	a	preposition	Duolingo
a casa	a casa		Duolingo
a causa	a causa		Duolingo
a cena	a cena		Duolingo
a che ora	a che ora		Duolingo
a chi	a chi		Duolingo
a chiave	a chiave		Duolingo
a colazione	a colazione		Duolingo
a cui	a cui		Duolingo
a luca	a luca		Duolingo
a lungo	a lungo	adverb	Duolingo
a piedi	a piedi		Duolingo
a proposito	a proposito	adverb	Duolingo
a quale	a quale	adjective	Duolingo
a scuola	a scuola		Duolingo
abbassa	abbassa	verb	Duolingo
abbassano	abbassano	verb	Duolingo
abbassare	abbassare	verb	Duolingo
abbassiamo	abbassiamo	verb	Duolingo
abbastanza	abbastanza	adverb	Duolingo
abbia	abbia	verb	Duolingo
abbiamo	abbiamo	verb	Duolingo
abbiano	abbiano	verb	Duolingo
abbigliamento	abbigliamento	noun	Duolingo
abitanti	abitanti	noun	Duolingo
abitare	abitare	verb	Duolingo
abitate	abitate	verb	Duolingo
abiti	abiti	noun	Duolingo
abito	abito	noun	Duolingo
abituale	abituale	adjective	Duolingo
abituali	abituali	adjective	Duolingo
abitudine	abitudine	noun	Duolingo
accanto	accanto	adverb	Duolingo
accende	accende	verb	Duolingo
accendere	accendere	verb	Duolingo
accendiamo	accendiamo	verb	Duolingo
accendo	accendo	verb	Duolingo
accettano	accettano	verb	Duolingo
accettate	accettate	verb	Duolingo
accetti	accetti	verb	Duolingo
accidenti	accidenti	noun	Duolingo
accordo	accordo	noun	Duolingo
acerbe	acerbe	adjective	Duolingo
acerbi	acerbi	adjective	Duolingo
acerbo	acerbo	adjective	Duolingo
acido	acido	adjective	Duolingo
acqua	acqua	noun	Duolingo
acque	acque	noun	Duolingo
ad	ad	preposition	Duolingo
addirittura	addirittura	adverb	Duolingo
adesso	adesso	adverb	Duolingo
adolescente	adolescente	noun	Duolingo
adolescenti	adolescenti	noun	Duolingo
adriatica	adriatica	adjective	Duolingo
adriatico	adriatico	adjective	Duolingo
adulta	adulta	adjective	Duolingo
adulte	adulte	adjective	Duolingo
adulti	adulti	noun	Duolingo
adulto	adulto	adjective	Duolingo
adulto	adulto	noun	Duolingo
aerei	aerei	noun	Duolingo
aereo	aereo	noun	Duolingo
aeroplani	aeroplani	noun	Duolingo
aeroplano	aeroplano	noun	Duolingo
aeroporto	aeroporto	noun	Duolingo
affare	affare	noun	Duolingo
affari	affari	noun	Duolingo
affatto	affatto	adverb	Duolingo
affitta	affitta	verb	Duolingo
affittare	affittare	verb	Duolingo
africa	africa	proper noun	Duolingo
aggiunge	aggiunge	verb	Duolingo
aggiungere	aggiungere	verb	Duolingo
aggiungete	aggiungete	verb	Duolingo
aggiungi	aggiungi	verb	Duolingo
aggiungo	aggiungo	verb	Duolingo
aggiungono	aggiungono	verb	Duolingo
agli	agli	preposition	Duolingo
aglio	aglio	noun	Duolingo
agosto	agosto	noun	Duolingo
agricoltura	agricoltura	noun	Duolingo
ah	ah	interjection	Duolingo
ai	ai	preposition	Duolingo
aiuta	aiuta	verb	Duolingo
aiutando	aiutando	verb	Duolingo
aiutano	aiutano	verb	Duolingo
aiutare	aiutare	verb	Duolingo
aiutate	aiutate	verb	Duolingo
aiuti	aiuti	verb	Duolingo
aiuto	aiuto	noun	Duolingo
al	al	preposition	Duolingo
al lavoro	al lavoro		Duolingo
alba	alba	noun	Duolingo
albergo	albergo	noun	Duolingo
alberi	alberi	noun	Duolingo
albero	albero	noun	Duolingo
alcol	alcol	noun	Duolingo
alcuna	alcuna	determiner	Duolingo
alcuna	alcuna	pronoun	Duolingo
alcune	alcune	determiner	Duolingo
alcune	alcune	pronoun	Duolingo
alcuni	alcuni	determiner	Duolingo
alcuni	alcuni	pronoun	Duolingo
alcuno	alcuno	pronoun	Duolingo
all'	all'	preposition	Duolingo
alla	alla	preposition	Duolingo
alle	alle	preposition	Duolingo
alle ragazze	alle ragazze		Duolingo
alle sette	alle sette		Duolingo
allegra	allegra	adjective	Duolingo
allegre	allegre	adjective	Duolingo
allegri	allegri	adjective	Duolingo
allegria	allegria	noun	Duolingo
allegro	allegro	adjective	Duolingo
allena	allena	verb	Duolingo
allenatore	allenatore	noun	Duolingo
allo	allo	preposition	Duolingo
allora	allora	adverb	Duolingo
almeno	almeno	adverb	Duolingo
alpi	alpi	proper noun	Duolingo
alta	alta	adjective	Duolingo
alte	alte	adjective	Duolingo
altezza	altezza	noun	Duolingo
alti	alti	adjective	Duolingo
alto	alto	adjective	Duolingo
altra	altra	determiner	Duolingo
altra	altra	pronoun	Duolingo
altre	altre	pronoun	Duolingo
altri	altri	pronoun	Duolingo
altrimenti	altrimenti	adverb	Duolingo
altro	altro	determiner	Duolingo
altro	altro	pronoun	Duolingo
altrove	altrove	adverb	Duolingo
alunni	alunni	noun	Duolingo
alzi	alzi	verb	Duolingo
ama	ama	verb	Duolingo
amano	amano	verb	Duolingo
amare	amare	verb	Duolingo
