learnable	type	translation	authoritative	is_regex
non	adverb		1	0
vinum	noun		1	0
vir	noun		1	0
bibere			1	0
post			1	0
est	verb		1	0
aut			1	0
mihi	pronoun		1	0
ante			1	0
viri	noun		1	0
male	adverb		1	0
tam			1	0
noli			1	0
valde			1	0
sine dubio			1	0
nimis			1	0
in	preposition		1	0
nos			1	0
noctu			1	0
bene	adverb		1	0
panis	noun		1	0
estne			1	0
ei	pronoun		1	0
sum	verb		1	0
pane			1	0
hodie			1	0
rapide			1	0
sunt	verb		1	0
vehementer			1	0
ad			1	0
de			1	0
et	conjunction		1	0
per			1	0
lente			1	0
languide			1	0
forte			1	0
sub			1	0
habitant	verb		1	0
sunt	verb		1	0
foro	noun		1	0
celeriter			1	0
forum			1	0
urbe	noun		1	0
ego	pronoun		1	0
quomodo	adverb		1	0
domum			1	0
novi eboraci			1	0
suaviter			1	0
tu	pronoun		1	0
vobis			1	0
narras			1	0
femina	noun		1	0
saepe			1	0
litteras			1	0
ossa			1	0
ubi	adverb		1	0
interdiu			1	0
cum			1	0
colligo			1	0
filias			1	0
magistrum			1	0
it			1	0
nobis			1	0
tres	numeral		1	0
habetis			1	0
librum			1	0
me	pronoun		1	0
fortasse			1	0
tacite			1	0
vesperi			1	0
te	pronoun		1	0
meae	adjective		1	0
habemus			1	0
quot	adjective		1	0
crustula	noun		1	0
puella	noun		1	0
se	pronoun		1	0
habeo	verb		1	0
nostram			1	0
quinque	numeral		1	0
habes	verb		1	0
mei	adjective		1	0
nolite			1	0
habet	verb		1	0
facit			1	0
iter			1	0
faciunt			1	0
quoque			1	0
vos			1	0
iuvenes	noun		1	0
num			1	0
habitas	verb		1	0
habitat	verb		1	0
urbs	noun		1	0
civitates			1	0
romae	proper noun		1	0
civitas			1	0
urbes	noun		1	0
quot			1	0
sed	conjunction		1	0
universitates			1	0
iuvenis	noun		1	0
ea			1	0
novum eboracum			1	0
velim	verb		1	0
urbem			1	0
ascendo			1	0
potestis			1	0
velit	verb		1	0
montes			1	0
callidam			1	0
calcei			1	0
multas			1	0
amamus			1	0
es	verb		1	0
venimus			1	0
nostrum			1	0
colloquium			1	0
habito	verb		1	0
feminae	noun		1	0
mater			1	0
solent			1	0
pater			1	0
dormit	verb		1	0
mane			1	0
visitat			1	0
magister			1	0
germanice			1	0
hispanice			1	0
anglice			1	0
discipuli			1	0
puellae	noun		1	0
quis	pronoun		1	0
semper			1	0
sorores	noun		1	0
longum			1	0
veniunt			1	0
latinas			1	0
multos			1	0
libros			1	0
vento			1	0
currit			1	0
currimus			1	0
hae			1	0
quid	pronoun		1	0
quo			1	0
linguae			1	0
latinae			1	0
crustulum	noun		1	0
pueri	noun		1	0
discipulae			1	0
docemus			1	0
student	verb		1	0
pueros			1	0
facitis			1	0
domi	noun		1	0
viginti	numeral		1	0
olivas	noun		1	0
dormiunt	verb		1	0
duo	numeral		1	0
eunt			1	0
estis			1	0
nunc			1	0
ab			1	0
hoc			1	0
facis			1	0
venit			1	0
unde			1	0
urbes			1	0
condis			1	0
visito			1	0
condo			1	0
facio			1	0
filios			1	0
velitis			1	0
amatis			1	0
italia	proper noun		1	0
nostras			1	0
discipulas			1	0
venitis			1	0
a			1	0
nostros			1	0
habitamus			1	0
puer	noun		1	0
panem	noun		1	0
nummis	noun		1	0
velisne	verb		1	0
quanti			1	0
rubrum	adjective		1	0
constat	verb		1	0
da	verb		1	0
constant			1	0
quaeso	verb		1	0
decem	numeral		1	0
triginta	numeral		1	0
olivae	noun		1	0
cotidie			1	0
discipulus			1	0
linguam			1	0
discipula			1	0
latinam			1	0
linguas			1	0
magistra			1	0
filii	noun		1	0
filiae	noun		1	0
multae	adjective		1	0
tui	adjective		1	0
fratres	noun		1	0
quattuor	numeral		1	0
salve	verb		1	0
agit			1	0
minime	adverb		1	0
tibi	pronoun		1	0
habitatis			1	0
ita	adverb		1	0
nomen	noun		1	0
scribit	verb		1	0
studet	verb		1	0
is			1	0
caseum			1	0
visitamus	verb		1	0
imus			1	0
sero			1	0
interdum			1	0
puellas			1	0
visitas			1	0
descendo			1	0
descendimus			1	0
docetis			1	0
facimus			1	0
quid			1	0
visitatis			1	0
velimus			1	0
sumus			1	0
eo			1	0
is			1	0
itis			1	0
venis			1	0
venio			1	0
domo			1	0
condit			1	0
discipulos			1	0
liber			1	0
tuae	adjective		1	0
duae	numeral		1	0
suntne	verb		1	0
habitasne	verb		1	0
salvete	verb		1	0
frater			1	0
soror			1	0
stultae			1	0
umbrae			1	0
exit			1	0
ascendit			1	0
homines			1	0
tempori			1	0
latinis			1	0
litteris			1	0
narrant			1	0
emitis			1	0
taciti			1	0
universitas			1	0
caffea			1	0
semisomna			1	0
semisomnus			1	0
exhaurit			1	0
caffeam			1	0
auroram			1	0
stultus			1	0
descendunt			1	0
umbram			1	0
imber			1	0
silvam			1	0
silva			1	0
umbra			1	0
descendere			1	0
imbres			1	0
descenditis			1	0
monte			1	0
descendit			1	0
callidum			1	0
aestimas			1	0
aestimat			1	0
cantatis			1	0
colligimus			1	0
colligunt			1	0
colligit			1	0
impletis			1	0
stolas			1	0
celamus			1	0
candidus			1	0
novas			1	0
via			1	0
