learnable	normalized	partOfSpeech	source
a	a		Duolingo
ab	ab		Duolingo
ad	ad		Duolingo
advenimus	advenimus		Duolingo
advenis	advenis		Duolingo
advenit	advenit		Duolingo
advenitis	advenitis		Duolingo
adveniunt	adveniunt		Duolingo
aedificia	aedificia		Duolingo
aedificio	aedificio		Duolingo
aedificium	aedificium		Duolingo
aeger	aeger		Duolingo
aegra	aegra		Duolingo
aegri	aegri		Duolingo
aegros	aegros		Duolingo
aegrum	aegrum		Duolingo
aestimamus	aestimamus		Duolingo
aestimant	aestimant		Duolingo
aestimare	aestimare		Duolingo
aestimas	aestimas		Duolingo
aestimat	aestimat		Duolingo
aestimatis	aestimatis		Duolingo
agit	agit		Duolingo
agri	agri		Duolingo
agricola	agricola		Duolingo
agricolae	agricolae		Duolingo
agro	agro		Duolingo
agros	agros		Duolingo
agrum	agrum		Duolingo
amamus	amamus		Duolingo
amatis	amatis		Duolingo
ambulamus	ambulamus		Duolingo
ambulare	ambulare		Duolingo
ambulat	ambulat		Duolingo
ambulatis	ambulatis		Duolingo
ambulo	ambulo		Duolingo
americana	americana		Duolingo
americanus	americanus		Duolingo
anglice	anglice		Duolingo
animalia	animalia		Duolingo
ante	ante		Duolingo
antiquae	antiquae		Duolingo
antiquam	antiquam		Duolingo
antiquas	antiquas		Duolingo
antiqui	antiqui		Duolingo
anuli	anuli		Duolingo
anulos	anulos		Duolingo
anulum	anulum		Duolingo
anulus	anulus		Duolingo
appropinquare	appropinquare		Duolingo
appropinquat	appropinquat		Duolingo
aqua	aqua		Duolingo
ara	ara		Duolingo
arae	arae		Duolingo
aram	aram		Duolingo
aras	aras		Duolingo
arbore	arbore		Duolingo
arborem	arborem		Duolingo
arbores	arbores		Duolingo
architecti	architecti		Duolingo
architectus	architectus		Duolingo
armario	armario		Duolingo
ascendere	ascendere		Duolingo
ascendit	ascendit		Duolingo
ascenditis	ascenditis		Duolingo
ascendo	ascendo		Duolingo
ascendunt	ascendunt		Duolingo
atrio	atrio		Duolingo
atrium	atrium		Duolingo
aurea	aurea		Duolingo
aurei	aurei		Duolingo
aureos	aureos		Duolingo
auroram	auroram		Duolingo
aut	aut		Duolingo
bacchum	bacchum		Duolingo
bacchus	bacchus		Duolingo
balnea	balnea		Duolingo
balneo	balneo		Duolingo
balneum	balneum		Duolingo
bellum	bellum		Duolingo
bene	bene	adverb	Duolingo
benigna	benigna		Duolingo
benignae	benignae		Duolingo
benignam	benignam		Duolingo
benigni	benigni		Duolingo
benignum	benignum		Duolingo
benignus	benignus		Duolingo
bibere	bibere		Duolingo
bibimus	bibimus		Duolingo
bibis	bibis		Duolingo
bibit	bibit		Duolingo
bibliotheca	bibliotheca		Duolingo
bibliothecam	bibliothecam		Duolingo
bibo	bibo		Duolingo
bostonia	bostonia		Duolingo
bostoniae	bostoniae		Duolingo
bubo	bubo		Duolingo
bubones	bubones		Duolingo
caelo	caelo	noun	Duolingo
caelum	caelum	noun	Duolingo
caffea	caffea		Duolingo
caffeam	caffeam		Duolingo
calcei	calcei		Duolingo
calceos	calceos		Duolingo
callida	callida		Duolingo
callidam	callidam		Duolingo
callidas	callidas		Duolingo
callidi	callidi		Duolingo
callidum	callidum		Duolingo
callidus	callidus		Duolingo
candida	candida		Duolingo
candidae	candidae		Duolingo
candidam	candidam		Duolingo
candidas	candidas		Duolingo
candidus	candidus		Duolingo
canis	canis		Duolingo
cantamus	cantamus		Duolingo
cantant	cantant		Duolingo
cantare	cantare		Duolingo
cantat	cantat		Duolingo
cantatis	cantatis		Duolingo
captamus	captamus		Duolingo
captat	captat		Duolingo
capto	capto		Duolingo
carmen	carmen		Duolingo
carmina	carmina		Duolingo
carnem	carnem		Duolingo
carnes	carnes		Duolingo
caro	caro		Duolingo
casei	casei		Duolingo
caseo	caseo		Duolingo
caseum	caseum		Duolingo
caseus	caseus		Duolingo
caupona	caupona		Duolingo
cauponae	cauponae		Duolingo
cauponas	cauponas		Duolingo
celamus	celamus		Duolingo
celant	celant		Duolingo
celas	celas		Duolingo
celat	celat		Duolingo
celeriter	celeriter		Duolingo
celo	celo		Duolingo
cena	cena		Duolingo
cenaculo	cenaculo		Duolingo
cenaculum	cenaculum		Duolingo
cenas	cenas		Duolingo
cibi	cibi		Duolingo
cibos	cibos		Duolingo
cibum	cibum		Duolingo
civitas	civitas		Duolingo
civitates	civitates		Duolingo
cliens	cliens		Duolingo
clientes	clientes		Duolingo
colligere	colligere		Duolingo
colligimus	colligimus		Duolingo
colligit	colligit		Duolingo
colligitis	colligitis		Duolingo
colligo	colligo		Duolingo
colligunt	colligunt		Duolingo
colloquium	colloquium		Duolingo
comedere	comedere		Duolingo
comedis	comedis		Duolingo
comes	comes		Duolingo
comitem	comitem		Duolingo
