learnable	normalized	partOfSpeech	source
a	a		Duolingo
albo	albo		Duolingo
ale	ale		Duolingo
amerykanką	amerykanka		Duolingo
amerykańską	amerykanska		Duolingo
ani	ani		Duolingo
autobusu	autobusu		Duolingo
babcia	babcia		Duolingo
babcie	babcie		Duolingo
bagaż	bagaz		Duolingo
banany	banany		Duolingo
bardziej	bardziej		Duolingo
bardzo	bardzo		Duolingo
basenu	basenu		Duolingo
bateria	bateria		Duolingo
baterie	baterie		Duolingo
baterii	baterii		Duolingo
będąc	bedac		Duolingo
bez	bez		Duolingo
biała	biala		Duolingo
białe	biale		Duolingo
białego	bialego		Duolingo
białej	bialej		Duolingo
biały	bialy		Duolingo
bierze	bierze		Duolingo
bierzecie	bierzecie		Duolingo
bierzesz	bierzesz		Duolingo
bilet	bilet		Duolingo
biorą	biora		Duolingo
biorę	biore		Duolingo
biurka	biurka		Duolingo
biurko	biurko		Duolingo
blisko	blisko		Duolingo
bluza	bluza		Duolingo
bluzę	bluze		Duolingo
bo	bo		Duolingo
bracia	bracia		Duolingo
brat	brat		Duolingo
bratem	bratem		Duolingo
brązowa	brazowa		Duolingo
brązowe	brazowe		Duolingo
brązowy	brazowy		Duolingo
brudno	brudno		Duolingo
brytyjczykiem	brytyjczykiem		Duolingo
brytyjką	brytyjka		Duolingo
brytyjski	brytyjski		Duolingo
brytyjskie	brytyjskie		Duolingo
but	but		Duolingo
butelka	butelka		Duolingo
butelki	butelki		Duolingo
buty	buty		Duolingo
być	byc		Duolingo
cebulą	cebula		Duolingo
cebuli	cebuli		Duolingo
chcę	chce		Duolingo
chcesz	chcesz		Duolingo
chleb	chleb		Duolingo
chlebie	chlebie		Duolingo
chłopca	chlopca		Duolingo
chłopcem	chlopcem		Duolingo
chłopcy	chlopcy		Duolingo
chłopiec	chlopiec		Duolingo
chodzą	chodza		Duolingo
chodzę	chodze		Duolingo
chodzi	chodzi		Duolingo
chodzicie	chodzicie		Duolingo
chodzimy	chodzimy		Duolingo
chodzisz	chodzisz		Duolingo
chwila	chwila		Duolingo
chwilę	chwile		Duolingo
chyba	chyba		Duolingo
ci	ci		Duolingo
ciasteczek	ciasteczek		Duolingo
ciasteczka	ciasteczka		Duolingo
ciasteczko	ciasteczko		Duolingo
cię	cie		Duolingo
ciebie	ciebie		Duolingo
ciekawie	ciekawie		Duolingo
ciemno	ciemno		Duolingo
ciocia	ciocia		Duolingo
co	co		Duolingo
codziennie	codziennie		Duolingo
córką	corka		Duolingo
córki	corki		Duolingo
cukierki	cukierki		Duolingo
cytryną	cytryna		Duolingo
czapka	czapka		Duolingo
czapkę	czapke		Duolingo
czapki	czapki		Duolingo
czarna	czarna		Duolingo
czarne	czarne		Duolingo
czarny	czarny		Duolingo
czarnych	czarnych		Duolingo
czas	czas		Duolingo
czasopisma	czasopisma		Duolingo
czasopismo	czasopismo		Duolingo
czasu	czasu		Duolingo
czego	czego		Duolingo
czekolada	czekolada		Duolingo
czekoladę	czekolade		Duolingo
czekoladowe	czekoladowe		Duolingo
czerwcu	czerwcu		Duolingo
czerwiec	czerwiec		Duolingo
cześć	czesc		Duolingo
często	czesto		Duolingo
człowiek	czlowiek		Duolingo
człowiekiem	czlowiekiem		Duolingo
czwartek	czwartek		Duolingo
czy	czy		Duolingo
czyi	czyi		Duolingo
czyj	czyj		Duolingo
czyja	czyja		Duolingo
czyje	czyje		Duolingo
czysto	czysto		Duolingo
czyta	czyta		Duolingo
czytać	czytac		Duolingo
czytacie	czytacie		Duolingo
czytając	czytajac		Duolingo
czytam	czytam		Duolingo
