learnable	normalized	partOfSpeech	source
a	a		Duolingo
a ajuta	a ajuta		Duolingo
a apărea	a aparea		Duolingo
a asculta	a asculta		Duolingo
a atinge	a atinge		Duolingo
a auzi	a auzi		Duolingo
a avea	a avea		Duolingo
a bea	a bea		Duolingo
a cădea	a cadea		Duolingo
a cânta	a canta		Duolingo
a citi	a citi		Duolingo
a coborî	a cobori		Duolingo
a cumpăra	a cumpara		Duolingo
a deschide	a deschide		Duolingo
a doborî	a dobori		Duolingo
a dori	a dori		Duolingo
a dormi	a dormi		Duolingo
a face	a face		Duolingo
a fi	a fi		Duolingo
a găsi	a gasi		Duolingo
a hotărî	a hotari		Duolingo
a începe	a incepe		Duolingo
a închide	a inchide		Duolingo
a înota	a inota		Duolingo
a întreba	a intreba		Duolingo
a iubi	a iubi		Duolingo
a lua	a lua		Duolingo
a mânca	a manca		Duolingo
a merge	a merge		Duolingo
a părea	a parea		Duolingo
a plăcea	a placea		Duolingo
a putea	a putea		Duolingo
a schimba	a schimba		Duolingo
a scrie	a scrie		Duolingo
a spune	a spune		Duolingo
a ști	a sti		Duolingo
a urî	a uri		Duolingo
a vedea	a vedea		Duolingo
a vinde	a vinde		Duolingo
a vorbi	a vorbi		Duolingo
a vrea	a vrea		Duolingo
acră	acra		Duolingo
acre	acre		Duolingo
ai	ai		Duolingo
al	al		Duolingo
albină	albina		Duolingo
albine	albine		Duolingo
albinele	albinele		Duolingo
ale	ale		Duolingo
am	am		Duolingo
amar	amar		Duolingo
amare	amare		Duolingo
an	an		Duolingo
ana	ana		Duolingo
ananas	ananas		Duolingo
ananașii	ananasii		Duolingo
ananasul	ananasul		Duolingo
andrei	andrei		Duolingo
ani	ani		Duolingo
animal	animal		Duolingo
animal de companie	animal de companie		Duolingo
animale	animale		Duolingo
animalele	animalele		Duolingo
animalul	animalul		Duolingo
apă	apa		Duolingo
arahidă	arahida		Duolingo
are	are		Duolingo
armăsar	armasar		Duolingo
armăsari	armasari		Duolingo
atrăgătoare	atragatoare		Duolingo
atrăgători	atragatori		Duolingo
au	au		Duolingo
avem	avem		Duolingo
