learnable	normalized	partOfSpeech	source
а	a		Duolingo
автобус	avtobus		Duolingo
автостанції	avtostantsiyi		Duolingo
автостанція	avtostantsiia		Duolingo
аеропорт	aeroport		Duolingo
аеропорту	aeroportu		Duolingo
актор	aktor		Duolingo
актриса	aktrisa		Duolingo
але	ale		Duolingo
американська	amerikans'ka		Duolingo
американський	amerikans'kii		Duolingo
англійський	angliis'kii		Duolingo
англійською	angliis'koiu		Duolingo
англійську	angliis'ku		Duolingo
апельсини	apel'sini		Duolingo
аптека	apteka		Duolingo
атланті	atlanti		Duolingo
бабуся	babusia		Duolingo
багаж	bagazh		Duolingo
багато	bagato		Duolingo
банан	banan		Duolingo
банани	banani		Duolingo
банджо	bandzho		Duolingo
банк	bank		Duolingo
банкомат	bankomat		Duolingo
банкомати	bankomati		Duolingo
банку	banku		Duolingo
басейн	basein		Duolingo
басейні	baseini		Duolingo
баскетбол	basketbol		Duolingo
батька	bat'ka		Duolingo
батьки	bat'ki		Duolingo
батько	bat'ko		Duolingo
батьком	bat'kom		Duolingo
бачив	bachiv		Duolingo
бачила	bachila		Duolingo
бачили	bachili		Duolingo
бачимо	bachimo		Duolingo
бачите	bachite		Duolingo
бачиш	bachish		Duolingo
бачу	bachu		Duolingo
без	bez		Duolingo
без хліба	bez khliba		Duolingo
без цукру	bez tsukru		Duolingo
безробітна	bezrobitna		Duolingo
безробітний	bezrobitnii		Duolingo
бейсбол	beisbol		Duolingo
березень	berezen'		Duolingo
бігала	bigala		Duolingo
бігали	bigali		Duolingo
бігати	bigati		Duolingo
бігаю	bigaiu		Duolingo
бізнес	biznes		Duolingo
бізнес-план	biznes-plan		Duolingo
бізнесі	biznesi		Duolingo
бізнесмен	biznesmen		Duolingo
біла	bila		Duolingo
білий	bilii		Duolingo
білі	bili		Duolingo
близько	bliz'ko		Duolingo
блискавка	bliskavka		Duolingo
блискавку	bliskavku		Duolingo
блог	blog		Duolingo
блондин	blondin		Duolingo
блондинка	blondinka		Duolingo
борода	boroda		Duolingo
борщ	borshch		Duolingo
брат	brat		Duolingo
брата	brata		Duolingo
брати	brati		Duolingo
братом	bratom		Duolingo
брюнет	briunet		Duolingo
брюнетка	briunetka		Duolingo
був	buv		Duolingo
буде	bude		Duolingo
будемо	budemo		Duolingo
будете	budete		Duolingo
будеш	budesh		Duolingo
будинок	budinok		Duolingo
буду	budu		Duolingo
будуть	budut'		Duolingo
будь ласка	bud' laska		Duolingo
була	bula		Duolingo
були	buli		Duolingo
бутерброд	buterbrod		Duolingo
бути	buti		Duolingo
бюджетом	biudzhetom		Duolingo
в	v		Duolingo
вагон	vagon		Duolingo
вагоні	vagoni		Duolingo
валіза	valiza		Duolingo
валізу	valizu		Duolingo
