learnable	type	translation	authoritative	is_regex
ŝi			1	0
tion			1	0
el			1	0
mi			1	0
ĉu			1	0
tago			1	0
de			1	0
ol			1	0
li			1	0
kune			1	0
unu			1	0
multe			1	0
la			1	0
kaj			1	0
ŝatas			1	0
estas			1	0
kun			1	0
ili			1	0
havi			1	0
ne			1	0
bone			1	0
pli			1	0
fruktoj			1	0
pluvas			1	0
vi			1	0
tre			1	0
havas			1	0
ankaŭ			1	0
aŭ			1	0
bluaj			1	0
ruĝaj			1	0
adamo			1	0
en			1	0
diras			1	0
nek			1	0
du			1	0
sofia			1	0
ludas			1	0
komencanto			1	0
al			1	0
legas			1	0
rapide			1	0
lernas			1	0
kantas			1	0
tri			1	0
sed			1	0
hispanio			1	0
oficejo			1	0
laboras			1	0
tio			1	0
sudameriko			1	0
kio			1	0
venas			1	0
jen			1	0
dancas			1	0
ĉar			1	0
loĝas			1	0
kiu			1	0
bona			1	0
viro			1	0
viron			1	0
malbona			1	0
kisas			1	0
lin			1	0
trinkas			1	0
vidas			1	0
manĝas			1	0
virino			1	0
dormas			1	0
ni			1	0
iras			1	0
ambaŭ			1	0
kvar			1	0
renkontiĝas			1	0
hodiaŭ			1	0
brilas			1	0
neĝas			1	0
malvarma			1	0
varma			1	0
kiel			1	0
pardonu			1	0
ĝis			1	0
bonvenon			1	0
bonan tagon			1	0
pardonpetas			1	0
bonan vesperon			1	0
bonan matenon			1	0
gratulon			1	0
saluton			1	0
ĝis la revido			1	0
dankon			1	0
bonan nokton			1	0
fartas			1	0
nedankinde			1	0
por			1	0
ofte			1	0
amas			1	0
hundidon			1	0
sur			1	0
iom			1	0
da			1	0
menuo			1	0
ilin			1	0
oni			1	0
iomete			1	0
ke			1	0
nur			1	0
sen			1	0
ŝin			1	0
vin			1	0
min			1	0
labori			1	0
se			1	0
kie			1	0
nin			1	0
staras			1	0
atendas			1	0
rigardas			1	0
jes			1	0
virinon			1	0
malrapide			1	0
poste			1	0
tiel			1	0
kiam			1	0
ĝin			1	0
pro			1	0
renkontas			1	0
necesejoj			1	0
pri			1	0
ĉi			1	0
kial			1	0
kion			1	0
tie			1	0
ĉu			1	0
kiom			1	0
somero			1	0
tra			1	0
denove			1	0
sudamerikon			1	0
matenmanĝas			1	0
verda			1	0
floro			1	0
francan			1	0
ĉiam			1	0
pordo			1	0
knabino			1	0
muŝon			1	0
tiom			1	0
trinkaĵon			1	0
per			1	0
legomoj			1	0
restoracioj			1	0
malfacila			1	0
malvarmaj			1	0
lacaj			1	0
facile			1	0
antaŭen			1	0
po			1	0
male			1	0
ekzemple			1	0
legante			1	0
nu			1	0
ja			1	0
minus			1	0
super			1	0
ktp			1	0
fare			1	0
plus			1	0
pere			1	0
maljunulo			1	0
krome			1	0
ties			1	0
plejparte			1	0
