learnable	type	translation	authoritative	is_regex
くだもの			1	0
ひらがな			1	0
でんわ			1	0
おちゃ			1	0
ぎんこう			1	0
きゅう			1	0
きっぷ			1	0
なっとう			1	0
てんぷら			1	0
じゃあね			1	0
ございます			1	0
どうも			1	0
ありがとう			1	0
おはよう			1	0
どういたしまして			1	0
はじめまして			1	0
こんばんは			1	0
さようなら			1	0
先生			1	0
すみません			1	0
こんにちは			1	0
パリ			1	0
インドネシア			1	0
ロンドン			1	0
ネパール			1	0
エジプト			1	0
ポルトガル			1	0
ワルシャワ			1	0
ノルウェー			1	0
ハワイ			1	0
ロサンゼルス			1	0
シカゴ			1	0
ブエノスアイレス			1	0
カンヌ			1	0
アルゼンチン			1	0
ヴェネツィア			1	0
コロンビア			1	0
アムステルダム			1	0
ストックホルム			1	0
お			1	0
は			1	0
英語			1	0
はい			1	0
さくら	proper noun		1	0
ます			1	0
と			1	0
です			1	0
も			1	0
僕	pronoun		1	0
ええ			1	0
さん			1	0
いえ			1	0
はれ			1	0
め			1	0
とり			1	0
へや			1	0
ふゆ			1	0
くもり			1	0
ひる			1	0
せなか			1	0
ヨーロッパ			1	0
アジア			1	0
マリオ			1	0
イタリア			1	0
カメラ			1	0
マリア			1	0
アメリカ			1	0
メキシコ			1	0
ジョン			1	0
あお			1	0
しろ			1	0
あか			1	0
に			1	0
よん			1	0
おはよう			1	0
ろく			1	0
いち			1	0
はい			1	0
おさけ			1	0
ほしい			1	0
よむ			1	0
すし			1	0
よる			1	0
あまい			1	0
やさい			1	0
さようなら			1	0
てりやき			1	0
カタカナ			1	0
ケニア			1	0
ニューヨーク			1	0
わたし			1	0
ギリシャ			1	0
ベルリン			1	0
ポーランド			1	0
ベトナム			1	0
カナダ			1	0
オランダ			1	0
ブラジル			1	0
アイルランド			1	0
ドイツ			1	0
マドリード			1	0
インド			1	0
スペイン			1	0
ボストン			1	0
モスクワ			1	0
ソウル			1	0
バンクーバー			1	0
人			1	0
か			1	0
出身			1	0
中国			1	0
お願いします			1	0
日本			1	0
本田	proper noun		1	0
学生			1	0
と言います			1	0
田中			1	0
ねこ			1	0
そと			1	0
いぬ			1	0
なつ			1	0
みみ			1	0
よろしく			1	0
イギリス			1	0
中村			1	0
フランス			1	0
何			1	0
ロシア			1	0
茂			1	0
私	pronoun		1	0
きたない			1	0
きる			1	0
のむ			1	0
すき			1	0
こんにちは			1	0
えんぴつ			1	0
まんが			1	0
べんとう			1	0
かばん			1	0
がっこう			1	0
きょう			1	0
えもじ			1	0
かぜ			1	0
ちず			1	0
いいえ			1	0
元気			1	0
話せ			1	0
もちろん			1	0
ではありません			1	0
語			1	0
が			1	0
アフリカ			1	0
フィリピン			1	0
ローマ			1	0
オーストラリア			1	0
エリカ			1	0
スウェーデン			1	0
日本語			1	0
の			1	0
どうぞ			1	0
こちらこそ			1	0
なな			1	0
さん			1	0
では			1	0
おやすみなさい			1	0
ごめんなさい			1	0
ごめん			1	0
じゃ			1	0
あ			1	0
あの			1	0
名前			1	0
