learnable	type	translation	authoritative	is_regex
дорогий	adjective	expensive	1	0
жаркий	adjective	hot	1	0
карі	adjective	brown, hazel (eyes)	1	0
молодший	adjective	younger	1	0
самотній	adjective	alone	1	0
старший	adjective	older	1	0
хмарно	adjective	cloudy	1	0
цей	adjective	this (adjective)	1	0
багато	adverb	many, a lot	1	0
близько	adverb	close	1	0
вдома	adverb	at home	1	0
весело	adverb	fun	1	0
вже	adverb	already	1	0
взимку	adverb	in winter	1	0
влітку	adverb	in summer	1	0
восени	adverb	in autumn	1	0
вчора	adverb	yesterday	1	0
давно	adverb	long	1	0
далеко	adverb	far	1	0
де	adverb	where (adverb)	1	0
де-небудь	adverb	anywhere	1	0
десь	adverb	somewhere	1	0
дешево	adverb	cheap	1	0
добре	adverb	okay, good	1	0
довго	adverb	long	1	0
дорого	adverb	expensive, dear, costly	1	0
дуже	adverb	very	1	0
жарко	adverb	hot	1	0
завжди	adverb	always	1	0
завтра	adverb	tomorrow	1	0
зазвичай	adverb	usually	1	0
зараз	adverb	now	1	0
звичайно	adverb	of course	1	0
звідки	adverb	from where, where from	1	0
інколи	adverb	sometimes	1	0
коли-небудь	adverb	sometime	1	0
колись	adverb	once	1	0
куди	adverb	where (to)	1	0
куди-небудь	adverb	wherever	1	0
кудись	adverb	somewhere	1	0
ліворуч	adverb	to/on the left	1	0
майже	adverb	almost	1	0
мало	adverb	small	1	0
можливо	adverb	perhaps	1	0
навесні	adverb	in the spring	1	0
надто	adverb	too	1	0
нарешті	adverb	finally	1	0
недавно	adverb	recently	1	0
ні	adverb	no	1	0
ніде (не)	adverb	nowhere	1	0
ніколи (не)	adverb	never	1	0
нікуди (не)	adverb	nowhere, anywhere	1	0
ніхто (не)	adverb	nobody	1	0
нудно	adverb	boring	1	0
ось	adverb	here	1	0
пізніше	adverb	later	1	0
післязавтра	adverb	the day after tomorrow	1	0
повільно	adverb	slow	1	0
погано	adverb	badly	1	0
позавчора	adverb	the day before yesterday	1	0
праворуч	adverb	to/on the right	1	0
просто	adverb	simply	1	0
прохолодно	adverb	cool	1	0
рідко	adverb	rarely	1	0
скільки	adverb	how much, how many	1	0
скоро	adverb	shortly	1	0
смішно	adverb	funny, ridiculously	1	0
сумно	adverb	sadly	1	0
сьогодні	adverb	today	1	0
сюди	adverb	here	1	0
так	adverb	so	1	0
так собі	adverb	so-so	1	0
там	adverb	there	1	0
теж	adverb	also, too	1	0
тепло	adverb	warm	1	0
туди	adverb	there (to/from a place)	1	0
тут	adverb	here	1	0
увечері	adverb	in the evening	1	0
удень	adverb	during the day, in the afternoon	1	0
уночі	adverb	at night	1	0
уранці	adverb	in the morning	1	0
холодно	adverb	cold	1	0
часто	adverb	often	1	0
чому	adverb	why	1	0
швидко	adverb	quickly	1	0
ще (не)	adverb	yet	1	0
щовечора	adverb	every evening	1	0
щодня	adverb	daily	1	0
щоночі	adverb	every night	1	0
щоранку	adverb	every morning	1	0
як	adverb	how	1	0
conjunction	conjunction	that, what (conjunction)	1	0
а	conjunction	and	1	0
але	conjunction	but	1	0
де	conjunction	where (conjunction)	1	0
і	conjunction	and	1	0
коли	conjunction	when	1	0
однак	conjunction	however	1	0
отже	conjunction	therefore	1	0
та	conjunction	and	1	0
тому що	conjunction	because	1	0
хто	conjunction	who (conjunction)	1	0
чи	conjunction	or	1	0
чому	conjunction	why (conjunction)	1	0
щоб	conjunction	in order to	1	0
якщо	conjunction	if, when	1	0
дуже приємно	expression	my pleasure, nice to meet you	1	0
як справи?	expression	how are you?	1	0
будь ласка	interjection	please, you're welcome	1	0
до побачення	interjection	goodbye, bye	1	0
добрий вечір	interjection	good evening	1	0
добрий день	interjection	good afternoon	1	0
добрий ранок	interjection	good morning	1	0
доброго вечора	interjection	good evening	1	0
доброго ранку	interjection	good morning	1	0
дякую	interjection	thanks	1	0
привіт	interjection	hi, hello	1	0
не	adverb	not	1	0
автобус	noun	bus	1	0
актор	noun	actor	1	0
аптека	noun	pharmacy	1	0
бабуся	noun	grandmother	1	0
багаж	noun	baggage	1	0
банджо	noun	banjo	1	0
баскетбол	noun	basketball	1	0
батьки	noun	parents	1	0
батько	noun	father	1	0
бейсбол	noun	baseball	1	0
березень	noun	March	1	0
бізнес	noun	business	1	0
бізнесмен	noun	businessman	1	0
блог	noun	blog	1	0
борщ	noun	borsch	1	0
брат	noun	brother	1	0
будинок	noun	house,building	1	0
бутерброд	noun	sandwich	1	0
вареники	noun	dumplings	1	0
вебдизайн	noun	web design	1	0
вегетаріанець	noun	vegetarian	1	0
ведмідь	noun	bear	1	0
вересень	noun	September	1	0
вечеря	noun	dinner	1	0
взуття	noun	shoes	1	0
викладач	noun	professor	1	0
вино	noun	wine	1	0
вища освіта	noun	high education	1	0
вівторок	noun	Tuesday	1	0
візит	noun	visit	1	0
вітер	noun	wind	1	0
вода	noun	water	1	0
водій	noun	driver	1	0
вокзал	noun	train station	1	0
волосся	noun	hair	1	0
все	noun	everything, all	1	0
вуса	noun	mustache	1	0
газом	noun	gas	1	0
година	noun	hour	1	0
голова	noun	head	1	0
горло	noun	throat	1	0
гривня	noun	hryvnia (currency)	1	0
грім	noun	thunder	1	0
гроші	noun	money	1	0
грудень	noun	December	1	0
день	noun	day	1	0
день народження	noun	birthday	1	0
десерт	noun	dessert	1	0
дизайнер	noun	designer	1	0
диплом	noun	diploma	1	0
директор	noun	director	1	0
дівчина	noun	girl	1	0
дід	noun	grandfather	1	0
дідусь	noun	grandfather	1	0
дім	noun	home, house	1	0
дніпро	noun	Dnipro (river)	1	0
долар	noun	dollar	1	0
домашнє завдання	noun	homework	1	0
донька	noun	daughter	1	0
досвід роботи	noun	work experience	1	0
дощ	noun	rain	1	0
друг	noun	friend	1	0
дружина	noun	wife	1	0
дядько	noun	uncle	1	0
євро	noun	Euro (currency)	1	0
Європа	noun	Europe	1	0
живіт	noun	stomach	1	0
жовтень	noun	October	1	0
журналіст	noun	journalist	1	0
заєць	noun	hare	1	0
захід	noun	west	1	0
збори	noun	meeting	1	0
здоров'я	noun	health	1	0
зоопарк	noun	zoo	1	0
зріст	noun	height	1	0
їжа	noun	food	1	0
ім'я	noun	name (of living things)	1	0
інженер	noun	engineer	1	0
інтерв'ю	noun	interview	1	0
історія	noun	history	1	0
кава	noun	coffee	1	0
канікули	noun	vacation, holiday	1	0
капуста	noun	cabbage	1	0
карпати	noun	Carpathians (mountains)	1	0
картопля	noun	potato	1	0
кафе	noun	cafe	1	0
каша	noun	porridge	1	0
квиток	noun	ticket	1	0
квітень	noun	April	1	0
квітка	noun	flower	1	0
кетчуп	noun	ketchup	1	0
кіно	noun	movie, cinema (informal)	1	0
кінь	noun	horse	1	0
кіт	noun	cat	1	0
ковбаса	noun	sausage	1	0
коментар	noun	comment	1	0
компьютер	noun	computer	1	0
корабель	noun	ship	1	0
котлета	noun	cutlet (food)	1	0
кросівки	noun	sneakers	1	0
купе	noun	compartment (train)	1	0
лимон	noun	lemon	1	0
липень	noun	July	1	0
лист	noun	letter	1	0
листопад	noun	November	1	0
лікар	noun	doctor	1	0
ліки	noun	medicine	1	0
літак	noun	plane	1	0
література	noun	literature	1	0
літо	noun	summer	1	0
люди	noun	people	1	0
лютий	noun	February	1	0
м'ясо	noun	meat	1	0
м'яч	noun	ball	1	0
майонез	noun	mayonnaise	1	0
макарони	noun	macaroni, pasta	1	0
мама	noun	mom (mother, informal)	1	0
марафон	noun	marathon	1	0
маршрутка	noun	shared taxi	1	0
масло	noun	butter	1	0
мати	noun	mother	1	0
машина	noun	car, machine	1	0
мед	noun	honey	1	0
медбрат	noun	nurse	1	0
менеджер	noun	manager	1	0
меню	noun	menu	1	0
метро	noun	subway	1	0
миша	noun	mouse	1	0
місто	noun	city	1	0
місце	noun	place	1	0
місяць	noun	month, Moon	1	0
молодь	noun	youth (young people)	1	0
молоко	noun	milk	1	0
морква	noun	carrot	1	0
мороз	noun	frost	1	0
мюслі	noun	muesli	1	0
населення	noun	population	1	0
неділя	noun	Sunday	1	0
ніж	noun	knife	1	0
номер	noun	numeral	1	0
обід	noun	lunch	1	0
овочі	noun	vegetables	1	0
одяг	noun	clothes	1	0
окуляри	noun	glasses	1	0
онук	noun	grandson	1	0
онука	noun	granddaughter	1	0
осінь	noun	autumn	1	0
офіціант	noun	waiter	1	0
п'ятниця	noun	Friday	1	0
павук	noun	spider	1	0
пальто	noun	coat	1	0
пенсіонер	noun	pensioner	1	0
перекладач	noun	translator	1	0
персонал	noun	personnel, staff	1	0
письменник	noun	writer	1	0
питання	noun	question	1	0
піаніно	noun	piano	1	0
південь	noun	south	1	0
північ	noun	north	1	0
піца	noun	pizza	1	0
площа	noun	square (place)	1	0
пляж	noun	beach	1	0
поверх	noun	floor, storey	1	0
повідомлення	noun	message	1	0
погода	noun	weather	1	0
подорож	noun	trip	1	0
подруга	noun	girlfriend	1	0
поїзд	noun	train	1	0
помідор	noun	tomato	1	0
понеділок	noun	Monday	1	0
постмодернизм	noun	postmodernism	1	0
посуд	noun	dishes	1	0
пошта	noun	post office, mail	1	0
правда	noun	truth	1	0
презентація	noun	presentation	1	0
провідник	noun	conductor	1	0
програміст	noun	programmer	1	0
продавець	noun	seller	1	0
проїзд	noun	fare (ticket)	1	0
професія	noun	profession	1	0
психолог	noun	psychologist	1	0
птах	noun	bird	1	0
радіо	noun	radio	1	0
рахунок	noun	check (restaurant)	1	0
резюме	noun	resume	1	0
рейс	noun	flight	1	0
ресурси	noun	resource	1	0
риба	noun	fish	1	0
ринок	noun	market	1	0
робота	noun	job, work	1	0
розклад	noun	schedule	1	0
розмір	noun	size	1	0
сад	noun	garden	1	0
салат	noun	salad	1	0
сало	noun	lard, salo	1	0
свиня	noun	pig	1	0
секретар	noun	secretary	1	0
село	noun	village	1	0
середа	noun	Wednesday	1	0
серпень	noun	August	1	0
сестра	noun	sister	1	0
син	noun	son	1	0
сир	noun	cheese	1	0
сік	noun	juice	1	0
сіль	noun	salt	1	0
сім'я	noun	family	1	0
січень	noun	January	1	0
скайп	noun	Skype	1	0
слон	noun	elephant	1	0
сніг	noun	snow	1	0
сніданок	noun	breakfast	1	0
сонце	noun	Sun	1	0
сосиска	noun	sausage, hot dog	1	0
спина	noun	back (body part)	1	0
спорт	noun	sport	1	0
справа	noun	affair, thing	1	0
студент	noun	student	1	0
субота	noun	Saturday	1	0
суп	noun	soup	1	0
схід	noun	east	1	0
таксі	noun	taxi	1	0
тато	noun	dad, father (familiar)	1	0
тварина	noun	animal	1	0
театр	noun	theater	1	0
телевізор	noun	TV	1	0
телефон	noun	phone	1	0
температура	noun	temperature, fever	1	0
теніс	noun	tennis	1	0
тітка	noun	aunt	1	0
травень	noun	May	1	0
транспорт	noun	transport	1	0
тролейбус	noun	trolleybus	1	0
туалет	noun	toilet	1	0
туман	noun	fog	1	0
туфлі	noun	shoes	1	0
фентезі	noun	fantasy, science fiction	1	0
фонтан	noun	fountain	1	0
фото	noun	photo	1	0
фрукт	noun	fruit (s.)	1	0
футбол	noun	soccer, football	1	0
хліб	noun	bread	1	0
хлопець	noun	boy	1	0
хмара	noun	cloud	1	0
хобі	noun	hobby	1	0
хокей	noun	hockey	1	0
цирк	noun	circus	1	0
цукор	noun	sugar	1	0
чай	noun	tea	1	0
час	noun	time	1	0
червень	noun	June	1	0
четвер	noun	Thursday	1	0
чоботи	noun	boots	1	0
чоловік	noun	man	1	0
шапка	noun	hat, cap	1	0
шарф	noun	scarf	1	0
шахи	noun	chess	1	0
школа	noun	school	1	0
шорти	noun	shorts	1	0
яйце	noun	egg	1	0
вісім	numeral	eight	1	0
вісімдесят	numeral	eighty	1	0
вісімдесят шість	numeral	eighty six	1	0
вісімнадцять	numeral	eighteen	1	0
вісімсот	numeral	eight hundred	1	0
два	numeral	two	1	0
двадцять	numeral	twenty	1	0
двадцять два	numeral	twenty two	1	0
двадцять один	numeral	twenty one	1	0
двадцять п'ять	numeral	twenty five	1	0
двадцять три	numeral	twenty three	1	0
двадцять чотири	numeral	twenty four	1	0
дванадцять	numeral	twelve	1	0
дві тисячі	numeral	two thousand	1	0
двісті	numeral	two hundred	1	0
дев'яносто	numeral	ninety	1	0
дев'яносто сім	numeral	ninety seven	1	0
дев'ятнадцять	numeral	nineteen	1	0
дев'ятсот	numeral	nine hundred	1	0
дев'ять	numeral	nine	1	0
десять	numeral	ten	1	0
мільйон	numeral	million	1	0
один	numeral	one	1	0
один мільйон	numeral	one million	1	0
один мільярд	numeral	one billion	1	0
одинадцять	numeral	eleven	1	0
одна тисяча	numeral	one thousand	1	0
п'ятдесят	numeral	fifty	1	0
п'ятдесят вісім	numeral	fify eight	1	0
п'ятнадцять	numeral	fifteen	1	0
п'ятсот	numeral	five hundred	1	0
п'ять	numeral	five	1	0
п'ять тисяч	numeral	five thousand	1	0
пора року	numeral	season	1	0
сім	numeral	seven	1	0
сімдесят	numeral	seventy	1	0
сімдесят п'ять	numeral	seventy five	1	0
сімнадцять	numeral	seventeen	1	0
сімсот	numeral	seven hundred	1	0
сорок	numeral	forty	1	0
сорок один	numeral	forty one	1	0
сорок сім	numeral	forty seven	1	0
сто	numeral	hundred	1	0
сто тисяч	numeral	one hundred thousand	1	0
три	numeral	three	1	0
тридцять	numeral	thirty	1	0
тридцять один	numeral	thirty one	1	0
тридцять шість	numeral	thirty six	1	0
тринадцять	numeral	thirteen	1	0
триста	numeral	three hundred	1	0
чотири	numeral	four	1	0
чотириста	numeral	four hundred	1	0
чотирнадцять	numeral	fourteen	1	0
шістдесят	numeral	sixty	1	0
шістдесят дев'ять	numeral	sixty nine	1	0
шістнадцять	numeral	sixteen	1	0
шістсот	numeral	six hundred	1	0
шість	numeral	six	1	0
без	preposition	without	1	0
в	preposition	in, on, to	1	0
для	preposition	for	1	0
на	preposition	on, in, at	1	0
про	preposition	about	1	0
у	preposition	in, on, to	1	0
ваш	pronoun	your (s. formal, pl.)	1	0
ви	pronoun	you (pl. or s. formal)	1	0
він	pronoun	he	1	0
вона	pronoun	she	1	0
вони	pronoun	they	1	0
її	pronoun	her	1	0
його	pronoun	his	1	0
котра	pronoun	which	1	0
ми	pronoun	we	1	0
мій	pronoun	my	1	0
наш	pronoun	our	1	0
нічого (не)	pronoun	nothing	1	0
свій	pronoun	its	1	0
твій	pronoun	your (informal)	1	0
ти	pronoun	you	1	0
хто	pronoun	who (pronoun)	1	0
хто-небудь	pronoun	someone, anybody, anyone	1	0
хтось	pronoun	someone	1	0
це	pronoun	it, this	1	0
цей	pronoun	this (pronoun)	1	0
чий	pronoun	whose	1	0
що	pronoun	what (pronoun)	1	0
що-небудь	pronoun	something, anything, any	1	0
щось	pronoun	something	1	0
я	pronoun	I	1	0
бігати	verb	to run	1	0
бути	verb	to be, to exist	1	0
готувати	verb	to prepare	1	0
грати	verb	to play (sports, instruments)	1	0
дати	verb	to give	1	0
замовити	verb	to order (restaurant)	1	0
звати	verb	to call (someone)	1	0
знайти	verb	to find	1	0
їсти	verb	to eat	1	0
іти	verb	to go (by foot)	1	0
їхати	verb	to go (by transportation)	1	0
коштувати	verb	to cost	1	0
купити	verb	to buy	1	0
любите	verb	to love	1	0
мати	verb	to have	1	0
могти	verb	to be able to (can)	1	0
писати	verb	to write	1	0
пити	verb	to drink	1	0
подорожувати	verb	to travel	1	0
покажіти	verb	to show	1	0
поміряти	verb	to try on, to measure	1	0
принести	verb	to bring	1	0
робити	verb	to do	1	0
роботи	verb	to work	1	0
співати	verb	to sing	1	0
танцювати	verb	to dance	1	0
треба	verb	need (to be needed by)	1	0
фотографувати	verb	to photograph	1	0
хотіти	verb	to want	1	0
читати	verb	to read	1	0
немає	adverb	no, none, no, there isn't, there is no	1	0
вибачте	interjection	sorry	1	0
це			1	0
п'ю			1	0
там			1	0
не			1	0
п'єте			1	0
батько			1	0
я			1	0
сім'я			1	0
сік			1	0
фонтан			1	0
брати			1	0
а			1	0
м'ясо			1	0
мої			1	0
молоко			1	0
сестра			1	0
чия			1	0
фото			1	0
але			1	0
моя			1	0
любите			1	0
мати			1	0
мій			1	0
він			1	0
вони			1	0
тут			1	0
моє			1	0
люблю			1	0
батьки			1	0
ви			1	0
і			1	0
хліб			1	0
чиї			1	0
мед			1	0
ми			1	0
дім			1	0
сіль			1	0
сад			1	0
студенти			1	0
чоловік			1	0
тітка			1	0
донька			1	0
де			1	0
їсте			1	0
їм			1	0
чай			1	0
чий			1	0
син			1	0
ні			1	0
мама			1	0
та			1	0
хто			1	0
тома			1	0
тато			1	0
так			1	0
дід			1	0
гривень			1	0
іти			1	0
тролейбус			1	0
завтра			1	0
три			1	0
скільки			1	0
дуже			1	0
шістсот			1	0
питання			1	0
дві тисячі			1	0
тисяч			1	0
квиток			1	0
один мільйон			1	0
влітку			1	0
ти			1	0
номер			1	0
у			1	0
жарко			1	0
куди			1	0
жарко			1	0
студентка			1	0
вона			1	0
їй			1	0
йому			1	0
дякую			1	0
сьогодні			1	0
мені			1	0
один			1	0
її			1	0
щось			1	0
нам			1	0
купити			1	0
що			1	0
мені треба			1	0
холодно			1	0
треба			1	0
хлопець			1	0
вам			1	0
тобі треба			1	0
подруга			1	0
двадцять один			1	0
ваш			1	0
провідник			1	0
рейс			1	0
багаж			1	0
ваша			1	0
тринадцять			1	0
на			1	0
зараз			1	0
купе			1	0
місце			1	0
вибачте			1	0
двадцять			1	0
розклад			1	0
година			1	0
двадцять три			1	0
п'ятсот			1	0
сімсот			1	0
триста			1	0
п'ять тисяч			1	0
це коштує			1	0
долар			1	0
долари			1	0
двісті			1	0
одна тисяча			1	0
тридцять одна			1	0
чотириста			1	0
гривня			1	0
доларів			1	0
сто тисяч			1	0
нарешті			1	0
щось			1	0
багато			1	0
без			1	0
вино			1	0
ще не			1	0
бабуся			1	0
обід			1	0
лист			1	0
бізнес			1	0
ринок			1	0
коли			1	0
випив			1	0
обміняти			1	0
приготувала			1	0
кар'єра			1	0
банкомати			1	0
реклама			1	0
вип'єш			1	0
банкомат			1	0
реклами			1	0
машини			1	0
євро			1	0
вчора			1	0
гроші			1	0
чому			1	0
можливо			1	0
персонал			1	0
немає			1	0
призначили			1	0
продав			1	0
бізнесі			1	0
скасували			1	0
скасувати			1	0
ціни			1	0
плачу			1	0
платили			1	0
кафе			1	0
досвід роботи			1	0
презентація			1	0
з			1	0
плани			1	0
бюджетом			1	0
проблеми			1	0
неурядові			1	0
зустріч			1	0
візитка			1	0
валюту			1	0
як			1	0
писати			1	0
ресурси			1	0
резюме			1	0
в			1	0
збори			1	0
інтерв'ю			1	0
понеділок			1	0
рекламує			1	0
бізнес-план			1	0
часто			1	0
дощ			1	0
машина			1	0
про			1	0
вітер			1	0
холодно			1	0
ці			1	0
сонце			1	0
карпати			1	0
літак			1	0
ніколи не			1	0
чи			1	0
його			1	0
кіно			1	0
виставка			1	0
читач			1	0
на автобусі			1	0
транспорт			1	0
на літаку			1	0
метро			1	0
на маршрутці			1	0
таксі			1	0
маршрутка			1	0
є			1	0
восени			1	0
у середу			1	0
робити			1	0
у п’ятницю			1	0
середа			1	0
суп			1	0
готувати			1	0
взимку			1	0
у вівторок			1	0
четвер			1	0
у четвер			1	0
у понеділок			1	0
з ким			1	0
дядьком			1	0
їхати			1	0
друг			1	0
пізніше			1	0
танцювати			1	0
післязавтра			1	0
вдома			1	0
друзі			1	0
дівчина			1	0
добре			1	0
скоро			1	0
час			1	0
як довго			1	0
звідки			1	0
молодь			1	0
шорти			1	0
одяг			1	0
співати			1	0
взуття			1	0
братом			1	0
